Date,Status,orders
2004-10-29,DELIVERED,1
2005-03-20,DELIVERED,1
2005-04-16,DELIVERED,1
2005-06-06,DELIVERED,1
2005-10-23,NOT DELIVERED,1
2005-12-21,NOT DELIVERED,1
2006-01-08,DELIVERED,1
2006-01-22,DELIVERED,1
2006-03-17,DELIVERED,1
2006-06-10,DELIVERED,1
2006-07-11,NOT DELIVERED,1
2006-08-28,DELIVERED,1
2006-09-18,DELIVERED,1
2007-06-05,DELIVERED,1
2007-06-18,NOT DELIVERED,1
2007-06-19,NOT DELIVERED,1
2007-07-27,NOT DELIVERED,1
2008-02-22,NOT DELIVERED,1
2008-02-24,DELIVERED,1
2008-05-21,DELIVERED,1
2008-09-14,NOT DELIVERED,1
2008-09-24,NOT DELIVERED,1
2009-01-01,DELIVERED,1
2009-02-23,DELIVERED,1
2009-03-24,DELIVERED,1
2009-08-07,NOT DELIVERED,1
2010-01-12,DELIVERED,1
2010-01-30,DELIVERED,1
2010-02-13,DELIVERED,1
2010-02-19,DELIVERED,1
2010-03-02,NOT DELIVERED,1
2010-03-15,NOT DELIVERED,1
2010-07-01,DELIVERED,1
2010-07-26,NOT DELIVERED,1
2011-03-28,DELIVERED,1
2011-04-22,DELIVERED,1
2011-05-25,NOT DELIVERED,1
2011-10-08,NOT DELIVERED,1
2012-01-25,DELIVERED,1
2012-02-08,NOT DELIVERED,1
2012-03-03,NOT DELIVERED,1
2012-05-02,DELIVERED,1
2012-06-17,NOT DELIVERED,1
2012-06-25,NOT DELIVERED,1
2012-08-02,DELIVERED,1
2013-01-12,DELIVERED,1
2013-02-09,NOT DELIVERED,1
2013-03-19,DELIVERED,1
2013-04-11,NOT DELIVERED,1
2013-04-23,DELIVERED,1
2013-05-03,DELIVERED,1
2013-07-23,NOT DELIVERED,1
2013-09-25,NOT DELIVERED,1
2013-10-27,DELIVERED,1
2013-11-21,DELIVERED,1
2014-04-28,DELIVERED,1
2014-04-30,DELIVERED,1
2014-05-18,NOT DELIVERED,1
2014-06-29,DELIVERED,1
2015-01-28,DELIVERED,1
2016-02-24,NOT DELIVERED,1
2016-03-18,NOT DELIVERED,1
2016-05-20,NOT DELIVERED,1
2016-09-23,DELIVERED,1
2016-12-21,NOT DELIVERED,1
2017-01-25,NOT DELIVERED,1
2017-03-17,DELIVERED,1
2017-09-29,NOT DELIVERED,1
2017-10-17,NOT DELIVERED,1
2017-11-24,NOT DELIVERED,1
2018-03-14,DELIVERED,1
2018-10-03,NOT DELIVERED,1
2018-12-21,NOT DELIVERED,1
2019-02-19,DELIVERED,1
2019-03-03,DELIVERED,1
2019-11-17,DELIVERED,1
2019-12-13,NOT DELIVERED,1
2019-12-30,NOT DELIVERED,1
