event_id,customer_id,event_time,event_name,channel,device,session_id
E1179,C100082,2024-02-20 03:08:00,signup,organic,iOS,SC100082-393
E965,C100068,2024-02-20 04:33:00,savings_deposit,organic,iOS,SC100068-321
E1095,C100077,2024-02-20 13:15:00,kyc_submit,organic,iOS,SC100077-365
E1233,C100085,2024-02-20 13:18:00,app_open,organic,iOS,SC100085-411
E1164,C100081,2024-02-20 14:47:00,kyc_approved,organic,iOS,SC100081-388
E806,C100059,2024-02-20 20:08:00,topup,organic,Android,SC100059-268
E837,C100061,2024-02-20 23:27:00,signup,paid,Android,SC100061-279
E4,C100000,2024-02-22 01:23:00,signup,organic,Android,SC100000-1
E335,C100024,2024-02-22 09:28:00,kyc_approved,organic,Android,SC100024-111
E161,C100012,2024-02-22 10:27:00,pay,organic,iOS,SC100012-53
E1234,C100085,2024-02-22 20:02:00,signup,organic,iOS,SC100085-411
E838,C100061,2024-02-22 21:26:00,signup,paid,iOS,SC100061-279
E34,C100002,2024-02-24 22:47:00,signup,organic,Web,SC100002-11
E153,C100011,2024-02-25 01:27:00,signup,paid,Android,SC100011-51
E461,C100032,2024-02-25 19:40:00,savings_deposit,paid,Android,SC100032-153
E1079,C100075,2024-02-26 02:04:00,kyc_approved,organic,iOS,SC100075-359
E503,C100037,2024-02-26 07:00:00,savings_deposit,paid,Android,SC100037-167
E694,C100051,2024-02-26 18:08:00,app_open,organic,Android,SC100051-231
E544,C100040,2024-02-26 18:29:00,app_open,organic,iOS,SC100040-181
E336,C100024,2024-02-27 20:14:00,kyc_submit,organic,Web,SC100024-112
E890,C100064,2024-02-27 21:01:00,signup,paid,Android,SC100064-296
E437,C100031,2024-02-27 23:48:00,kyc_approved,referral,iOS,SC100031-145
E293,C100022,2024-02-28 02:48:00,kyc_submit,organic,iOS,SC100022-97
E162,C100012,2024-02-29 04:21:00,bill_pay,organic,iOS,SC100012-54
E608,C100044,2024-02-29 05:09:00,bill_pay,organic,iOS,SC100044-202
E986,C100069,2024-02-29 06:50:00,kyc_submit,organic,Web,SC100069-328
E21,C100001,2024-02-29 10:43:00,kyc_approved,organic,Android,SC100001-7
E1377,C100094,2024-02-29 15:54:00,kyc_submit,paid,Android,SC100094-459
E792,C100058,2024-02-29 18:57:00,kyc_submit,referral,Android,SC100058-264
E1448,C100100,2024-02-29 21:35:00,signup,paid,Android,SC100100-482
E154,C100011,2024-02-29 22:40:00,app_open,paid,iOS,SC100011-51
E1145,C100080,2024-03-01 06:03:00,savings_deposit,referral,iOS,SC100080-381
E424,C100030,2024-03-01 17:36:00,signup,paid,Web,SC100030-141
E1469,C100101,2024-03-01 22:35:00,app_open,organic,iOS,SC100101-489
E1417,C100097,2024-03-02 02:51:00,kyc_approved,paid,Android,SC100097-472
E1378,C100094,2024-03-02 18:17:00,app_open,paid,Android,SC100094-459
E395,C100028,2024-03-02 20:39:00,pay,organic,Android,SC100028-131
E545,C100040,2024-03-03 03:43:00,signup,organic,Android,SC100040-181
E891,C100064,2024-03-03 03:53:00,activate,paid,iOS,SC100064-297
E730,C100053,2024-03-03 15:47:00,card_activate,paid,Android,SC100053-243
E411,C100029,2024-03-03 16:41:00,transfer,organic,Android,SC100029-137
E1326,C100091,2024-03-03 22:14:00,transfer,paid,iOS,SC100091-442
E946,C100067,2024-03-04 09:37:00,signup,paid,Android,SC100067-315
E520,C100038,2024-03-04 13:34:00,bill_pay,organic,iOS,SC100038-173
E1273,C100088,2024-03-04 17:48:00,transfer,organic,iOS,SC100088-424
E1513,C100104,2024-03-05 02:57:00,app_open,organic,Android,SC100104-504
E565,C100041,2024-03-05 08:42:00,app_open,organic,iOS,SC100041-188
E1117,C100078,2024-03-05 17:05:00,signup,organic,Android,SC100078-372
E881,C100063,2024-03-05 18:57:00,savings_deposit,organic,Android,SC100063-293
E892,C100064,2024-03-05 19:50:00,kyc_submit,paid,iOS,SC100064-297
E966,C100068,2024-03-05 23:49:00,app_open,organic,Android,SC100068-322
E566,C100041,2024-03-06 00:01:00,signup,organic,Android,SC100041-188
E1554,C100107,2024-03-06 05:14:00,signup,referral,Android,SC100107-518
E750,C100054,2024-03-06 06:27:00,transfer,paid,Android,SC100054-250
E778,C100057,2024-03-06 10:11:00,signup,referral,Android,SC100057-259
E1490,C100102,2024-03-06 10:53:00,signup,paid,iOS,SC100102-496
E294,C100022,2024-03-06 12:55:00,bill_pay,organic,Android,SC100022-98
E337,C100024,2024-03-06 18:53:00,pay,organic,Android,SC100024-112
E1577,C100109,2024-03-07 03:39:00,app_open,paid,Android,SC100109-525
E49,C100003,2024-03-08 11:33:00,kyc_submit,organic,iOS,SC100003-16
E967,C100068,2024-03-08 12:01:00,pay,organic,iOS,SC100068-322
E35,C100002,2024-03-08 18:28:00,topup,organic,Android,SC100002-11
E731,C100053,2024-03-09 08:12:00,app_open,paid,iOS,SC100053-243
E587,C100043,2024-03-09 19:58:00,topup,paid,Android,SC100043-195
E793,C100058,2024-03-10 00:35:00,app_open,referral,iOS,SC100058-264
E1048,C100073,2024-03-10 06:25:00,signup,campaign,iOS,SC100073-349
E181,C100013,2024-03-10 10:39:00,transfer,organic,Android,SC100013-60
E1423,C100098,2024-03-10 14:29:00,signup,organic,iOS,SC100098-474
E1655,C100114,2024-03-10 23:18:00,signup,campaign,iOS,SC100114-551
E947,C100067,2024-03-11 04:52:00,app_open,paid,iOS,SC100067-315
E1701,C100116,2024-03-11 08:28:00,app_open,paid,iOS,SC100116-567
E839,C100061,2024-03-11 23:03:00,signup,paid,Android,SC100061-279
E1702,C100116,2024-03-12 03:06:00,signup,paid,iOS,SC100116-567
E260,C100019,2024-03-12 07:38:00,app_open,organic,Android,SC100019-86
E1545,C100106,2024-03-12 09:49:00,topup,campaign,Android,SC100106-515
E1852,C100126,2024-03-13 08:25:00,app_open,paid,Android,SC100126-617
E1049,C100073,2024-03-14 05:31:00,signup,campaign,iOS,SC100073-349
E1274,C100088,2024-03-14 08:45:00,transfer,organic,Android,SC100088-424
E1424,C100098,2024-03-14 13:36:00,pay,organic,Android,SC100098-474
E110,C100008,2024-03-14 18:17:00,transfer,organic,Android,SC100008-36
E1656,C100114,2024-03-15 15:41:00,kyc_approved,campaign,iOS,SC100114-552
E1379,C100094,2024-03-15 20:10:00,topup,paid,Android,SC100094-459
E665,C100049,2024-03-15 22:24:00,card_activate,referral,Android,SC100049-221
E1677,C100115,2024-03-15 22:51:00,transfer,referral,Android,SC100115-559
E1050,C100073,2024-03-16 11:02:00,app_open,campaign,Android,SC100073-350
E1941,C100132,2024-03-16 14:03:00,signup,paid,iOS,SC100132-647
E1019,C100071,2024-03-17 00:04:00,app_open,paid,iOS,SC100071-339
E732,C100053,2024-03-17 04:29:00,bill_pay,paid,iOS,SC100053-244
E1425,C100098,2024-03-17 10:32:00,pay,organic,iOS,SC100098-475
E818,C100060,2024-03-17 20:05:00,kyc_submit,referral,iOS,SC100060-272
E632,C100046,2024-03-18 05:59:00,transfer,organic,Android,SC100046-210
E1514,C100104,2024-03-18 14:26:00,kyc_submit,organic,iOS,SC100104-504
E2031,C100139,2024-03-19 01:41:00,app_open,referral,Android,SC100139-677
E1180,C100082,2024-03-19 04:17:00,app_open,organic,Android,SC100082-393
E1515,C100104,2024-03-19 05:56:00,bill_pay,organic,Android,SC100104-505
E133,C100009,2024-03-19 10:27:00,card_activate,organic,Android,SC100009-44
E588,C100043,2024-03-19 17:38:00,topup,paid,iOS,SC100043-196
E358,C100025,2024-03-20 04:46:00,app_open,paid,Android,SC100025-119
E1768,C100119,2024-03-20 07:10:00,pay,organic,Android,SC100119-589
E546,C100040,2024-03-20 20:12:00,signup,organic,Android,SC100040-182
E84,C100006,2024-03-21 03:49:00,kyc_approved,paid,Android,SC100006-28
E465,C100033,2024-03-21 05:31:00,activate,paid,Android,SC100033-155
E36,C100002,2024-03-21 10:22:00,savings_deposit,organic,Android,SC100002-12
E111,C100008,2024-03-21 11:34:00,topup,organic,Android,SC100008-37
E1578,C100109,2024-03-22 06:13:00,kyc_submit,paid,iOS,SC100109-526
E425,C100030,2024-03-22 15:34:00,kyc_approved,paid,iOS,SC100030-141
E438,C100031,2024-03-22 16:40:00,kyc_submit,referral,Android,SC100031-146
E1020,C100071,2024-03-22 16:51:00,app_open,paid,iOS,SC100071-340
E1402,C100096,2024-03-23 10:39:00,transfer,organic,Android,SC100096-467
E999,C100070,2024-03-23 16:23:00,app_open,referral,iOS,SC100070-333
E1799,C100122,2024-03-23 18:22:00,app_open,referral,Android,SC100122-599
E1678,C100115,2024-03-24 02:49:00,activate,referral,Android,SC100115-559
E2019,C100138,2024-03-24 19:46:00,bill_pay,organic,Android,SC100138-673
E1657,C100114,2024-03-25 05:48:00,app_open,campaign,Android,SC100114-552
E196,C100015,2024-03-25 18:47:00,signup,campaign,Android,SC100015-65
E1051,C100073,2024-03-25 19:28:00,app_open,campaign,iOS,SC100073-350
E2097,C100144,2024-03-25 22:40:00,app_open,organic,Android,SC100144-699
E1703,C100116,2024-03-26 01:20:00,signup,paid,Android,SC100116-567
E1021,C100071,2024-03-26 04:26:00,app_open,paid,Web,SC100071-340
E1918,C100130,2024-03-26 09:24:00,app_open,organic,Web,SC100130-639
E936,C100066,2024-03-26 18:22:00,savings_deposit,referral,iOS,SC100066-312
E683,C100050,2024-03-26 22:28:00,signup,campaign,iOS,SC100050-227
E317,C100023,2024-03-27 00:01:00,kyc_submit,paid,iOS,SC100023-105
E1546,C100106,2024-03-27 03:57:00,card_activate,campaign,iOS,SC100106-515
E1868,C100127,2024-03-27 04:30:00,kyc_submit,organic,Android,SC100127-622
E478,C100035,2024-03-27 04:53:00,kyc_submit,organic,Android,SC100035-159
E1165,C100081,2024-03-27 13:20:00,app_open,organic,iOS,SC100081-388
E318,C100023,2024-03-28 05:16:00,topup,paid,Android,SC100023-106
E2302,C100157,2024-03-28 08:36:00,kyc_submit,referral,Android,SC100157-767
E37,C100002,2024-03-28 15:42:00,bill_pay,organic,iOS,SC100002-12
E1981,C100135,2024-03-28 17:06:00,signup,organic,Android,SC100135-660
E1724,C100117,2024-03-28 23:28:00,kyc_submit,organic,Android,SC100117-574
E1491,C100102,2024-03-29 00:54:00,kyc_approved,paid,Android,SC100102-497
E295,C100022,2024-03-29 02:01:00,app_open,organic,iOS,SC100022-98
E987,C100069,2024-03-29 04:33:00,signup,organic,Android,SC100069-329
E1096,C100077,2024-03-29 11:59:00,pay,organic,Android,SC100077-365
E1808,C100123,2024-03-29 16:09:00,activate,organic,Web,SC100123-602
E182,C100013,2024-03-30 06:12:00,activate,organic,iOS,SC100013-60
E22,C100001,2024-03-30 10:37:00,kyc_approved,organic,iOS,SC100001-7
E1769,C100119,2024-03-31 00:55:00,topup,organic,iOS,SC100119-589
E2351,C100162,2024-03-31 21:05:00,app_open,campaign,Android,SC100162-783
E1403,C100096,2024-04-01 00:40:00,app_open,organic,iOS,SC100096-467
E439,C100031,2024-04-01 02:55:00,topup,referral,Android,SC100031-146
E794,C100058,2024-04-02 09:03:00,pay,referral,Android,SC100058-264
E589,C100043,2024-04-02 15:41:00,transfer,paid,Android,SC100043-196
E1440,C100099,2024-04-02 18:38:00,kyc_submit,paid,iOS,SC100099-480
E2020,C100138,2024-04-02 19:36:00,topup,organic,iOS,SC100138-673
E1579,C100109,2024-04-02 23:11:00,signup,paid,Android,SC100109-526
E85,C100006,2024-04-03 12:59:00,kyc_submit,paid,Android,SC100006-28
E988,C100069,2024-04-03 13:14:00,app_open,organic,iOS,SC100069-329
E1364,C100093,2024-04-03 16:00:00,kyc_submit,organic,Android,SC100093-454
E2057,C100141,2024-04-04 00:34:00,app_open,organic,iOS,SC100141-685
E2556,C100176,2024-04-04 06:35:00,signup,referral,Android,SC100176-852
E1786,C100120,2024-04-04 08:05:00,kyc_submit,paid,iOS,SC100120-595
E2337,C100161,2024-04-04 09:54:00,kyc_submit,paid,iOS,SC100161-779
E1547,C100106,2024-04-04 11:24:00,kyc_submit,campaign,Android,SC100106-515
E1166,C100081,2024-04-04 21:47:00,card_activate,organic,Android,SC100081-388
E2237,C100153,2024-04-05 22:31:00,kyc_submit,organic,Android,SC100153-745
E2445,C100169,2024-04-06 01:34:00,signup,referral,Android,SC100169-815
E1679,C100115,2024-04-06 08:54:00,savings_deposit,referral,Android,SC100115-559
E1071,C100074,2024-04-06 18:16:00,signup,organic,Android,SC100074-357
E105,C100007,2024-04-07 04:40:00,kyc_submit,paid,iOS,SC100007-35
E1449,C100100,2024-04-07 10:59:00,signup,paid,iOS,SC100100-483
E1080,C100075,2024-04-07 14:19:00,kyc_submit,organic,iOS,SC100075-360
E232,C100017,2024-04-07 15:51:00,kyc_approved,organic,Android,SC100017-77
E396,C100028,2024-04-07 16:02:00,signup,organic,Android,SC100028-132
E547,C100040,2024-04-08 03:15:00,signup,organic,Android,SC100040-182
E968,C100068,2024-04-08 10:18:00,signup,organic,Android,SC100068-322
E134,C100009,2024-04-08 11:18:00,pay,organic,iOS,SC100009-44
E756,C100055,2024-04-08 12:51:00,app_open,organic,Android,SC100055-252
E2005,C100137,2024-04-08 17:21:00,app_open,campaign,iOS,SC100137-668
E112,C100008,2024-04-09 05:26:00,pay,organic,iOS,SC100008-37
E648,C100047,2024-04-09 15:00:00,kyc_approved,paid,iOS,SC100047-216
E2479,C100171,2024-04-09 15:47:00,transfer,organic,Android,SC100171-826
E1470,C100101,2024-04-09 22:14:00,app_open,organic,Android,SC100101-490
E989,C100069,2024-04-10 03:23:00,signup,organic,iOS,SC100069-329
E1639,C100113,2024-04-10 09:53:00,activate,organic,Android,SC100113-546
E1982,C100135,2024-04-10 12:03:00,signup,organic,iOS,SC100135-660
E1255,C100087,2024-04-10 18:15:00,app_open,referral,iOS,SC100087-418
E1022,C100071,2024-04-11 01:53:00,app_open,paid,Android,SC100071-340
E990,C100069,2024-04-11 03:10:00,kyc_submit,organic,iOS,SC100069-330
E1580,C100109,2024-04-11 04:22:00,signup,paid,Android,SC100109-526
E50,C100003,2024-04-11 15:50:00,signup,organic,Android,SC100003-16
E2152,C100148,2024-04-11 19:32:00,signup,paid,iOS,SC100148-717
E969,C100068,2024-04-11 20:45:00,activate,organic,iOS,SC100068-323
E2265,C100155,2024-04-12 08:30:00,savings_deposit,paid,Android,SC100155-755
E684,C100050,2024-04-12 13:48:00,signup,campaign,Android,SC100050-228
E819,C100060,2024-04-13 04:06:00,app_open,referral,Android,SC100060-273
E1809,C100123,2024-04-13 07:29:00,transfer,organic,iOS,SC100123-603
E1894,C100129,2024-04-13 16:17:00,app_open,organic,iOS,SC100129-631
E1628,C100112,2024-04-13 22:26:00,signup,referral,iOS,SC100112-542
E2032,C100139,2024-04-13 22:49:00,app_open,referral,Android,SC100139-677
E2446,C100169,2024-04-14 02:56:00,kyc_approved,referral,Android,SC100169-815
E893,C100064,2024-04-14 06:41:00,kyc_approved,paid,iOS,SC100064-297
E1680,C100115,2024-04-14 07:28:00,app_open,referral,iOS,SC100115-560
E5,C100000,2024-04-14 12:25:00,signup,organic,iOS,SC100000-1
E526,C100039,2024-04-14 12:53:00,bill_pay,referral,Android,SC100039-175
E633,C100046,2024-04-14 13:18:00,activate,organic,iOS,SC100046-211
E567,C100041,2024-04-14 14:57:00,app_open,organic,Android,SC100041-189
E412,C100029,2024-04-14 15:15:00,app_open,organic,Android,SC100029-137
E51,C100003,2024-04-14 23:28:00,card_activate,organic,iOS,SC100003-17
E1681,C100115,2024-04-15 10:36:00,kyc_submit,referral,iOS,SC100115-560
E1275,C100088,2024-04-15 17:06:00,topup,organic,Android,SC100088-425
E709,C100052,2024-04-15 17:23:00,signup,organic,Android,SC100052-236
E2657,C100184,2024-04-15 20:48:00,kyc_submit,organic,iOS,SC100184-885
E1745,C100118,2024-04-16 11:13:00,transfer,organic,iOS,SC100118-581
E1704,C100116,2024-04-16 16:02:00,app_open,paid,iOS,SC100116-568
E2021,C100138,2024-04-16 23:57:00,pay,organic,iOS,SC100138-673
E970,C100068,2024-04-17 04:06:00,card_activate,organic,iOS,SC100068-323
E68,C100004,2024-04-17 06:46:00,signup,organic,Android,SC100004-22
E2279,C100156,2024-04-17 08:04:00,pay,organic,Android,SC100156-759
E2033,C100139,2024-04-17 11:50:00,app_open,referral,Android,SC100139-677
E113,C100008,2024-04-17 13:19:00,topup,organic,Android,SC100008-37
E2280,C100156,2024-04-17 18:36:00,app_open,organic,Android,SC100156-760
E2730,C100190,2024-04-18 01:21:00,signup,referral,Android,SC100190-910
E192,C100014,2024-04-18 09:04:00,kyc_submit,paid,iOS,SC100014-64
E527,C100039,2024-04-18 13:23:00,transfer,referral,iOS,SC100039-175
E1746,C100118,2024-04-19 02:23:00,transfer,organic,Android,SC100118-582
E1023,C100071,2024-04-19 03:25:00,signup,paid,iOS,SC100071-341
E278,C100021,2024-04-19 03:39:00,pay,campaign,Android,SC100021-92
E2329,C100160,2024-04-19 05:05:00,kyc_approved,organic,iOS,SC100160-776
E440,C100031,2024-04-19 08:26:00,kyc_approved,referral,iOS,SC100031-146
E1380,C100094,2024-04-19 09:47:00,savings_deposit,paid,iOS,SC100094-460
E2193,C100150,2024-04-19 11:54:00,signup,referral,Android,SC100150-731
E971,C100068,2024-04-19 18:58:00,transfer,organic,Android,SC100068-323
E685,C100050,2024-04-20 11:57:00,signup,campaign,iOS,SC100050-228
E751,C100054,2024-04-20 16:22:00,kyc_submit,paid,iOS,SC100054-250
E86,C100006,2024-04-21 17:57:00,kyc_approved,paid,iOS,SC100006-28
E2731,C100190,2024-04-21 20:50:00,app_open,referral,Android,SC100190-910
E2426,C100168,2024-04-22 05:16:00,app_open,organic,iOS,SC100168-808
E1052,C100073,2024-04-22 05:48:00,signup,campaign,iOS,SC100073-350
E1218,C100084,2024-04-22 07:48:00,signup,organic,Web,SC100084-406
E1024,C100071,2024-04-22 12:11:00,signup,paid,iOS,SC100071-341
E183,C100013,2024-04-22 14:34:00,activate,organic,iOS,SC100013-61
E858,C100062,2024-04-22 15:24:00,app_open,organic,iOS,SC100062-286
E2623,C100182,2024-04-22 17:11:00,app_open,paid,iOS,SC100182-874
E2068,C100142,2024-04-22 20:04:00,signup,paid,Web,SC100142-689
E1528,C100105,2024-04-23 00:24:00,signup,organic,iOS,SC100105-509
E1682,C100115,2024-04-23 12:44:00,activate,referral,Android,SC100115-560
E2143,C100147,2024-04-23 14:16:00,signup,organic,Android,SC100147-714
E413,C100029,2024-04-23 22:11:00,pay,organic,Android,SC100029-137
E2098,C100144,2024-04-24 03:50:00,app_open,organic,iOS,SC100144-699
E913,C100065,2024-04-24 08:58:00,signup,paid,iOS,SC100065-304
E279,C100021,2024-04-24 12:47:00,bill_pay,campaign,iOS,SC100021-93
E882,C100063,2024-04-24 15:01:00,activate,organic,Android,SC100063-294
E2222,C100152,2024-04-24 17:51:00,signup,paid,Android,SC100152-740
E38,C100002,2024-04-25 06:33:00,transfer,organic,Android,SC100002-12
E1327,C100091,2024-04-25 09:53:00,activate,paid,iOS,SC100091-442
E2144,C100147,2024-04-25 13:13:00,app_open,organic,Android,SC100147-714
E1770,C100119,2024-04-25 13:41:00,topup,organic,Android,SC100119-590
E710,C100052,2024-04-25 14:37:00,activate,organic,Android,SC100052-236
E2194,C100150,2024-04-25 22:47:00,app_open,referral,Android,SC100150-731
E1426,C100098,2024-04-25 23:37:00,savings_deposit,organic,Android,SC100098-475
E1309,C100090,2024-04-26 05:18:00,signup,paid,Android,SC100090-436
E1427,C100098,2024-04-26 06:05:00,card_activate,organic,Android,SC100098-475
E590,C100043,2024-04-26 19:37:00,topup,paid,Android,SC100043-196
E2569,C100177,2024-04-26 19:54:00,app_open,organic,iOS,SC100177-856
E2145,C100147,2024-04-26 20:59:00,signup,organic,iOS,SC100147-715
E820,C100060,2024-04-26 22:18:00,kyc_approved,referral,Android,SC100060-273
E2120,C100145,2024-04-27 12:44:00,signup,campaign,iOS,SC100145-706
E1830,C100124,2024-04-27 23:49:00,app_open,referral,Android,SC100124-610
E2866,C100198,2024-04-28 09:11:00,app_open,organic,iOS,SC100198-955
E1492,C100102,2024-04-28 23:18:00,kyc_approved,paid,Android,SC100102-497
E1181,C100082,2024-04-29 04:39:00,signup,organic,Android,SC100082-393
E1428,C100098,2024-04-29 11:34:00,bill_pay,organic,iOS,SC100098-476
E1725,C100117,2024-04-29 13:31:00,kyc_approved,organic,iOS,SC100117-575
E1310,C100090,2024-04-29 13:37:00,app_open,paid,Android,SC100090-436
E280,C100021,2024-04-30 03:33:00,kyc_approved,campaign,iOS,SC100021-93
E338,C100024,2024-04-30 06:28:00,transfer,organic,Android,SC100024-112
E2780,C100193,2024-04-30 12:15:00,savings_deposit,paid,Android,SC100193-926
E2480,C100171,2024-04-30 13:43:00,app_open,organic,Android,SC100171-826
E233,C100017,2024-04-30 15:39:00,activate,organic,iOS,SC100017-77
E23,C100001,2024-04-30 18:31:00,kyc_submit,organic,iOS,SC100001-7
E2557,C100176,2024-04-30 19:47:00,pay,referral,iOS,SC100176-852
E2309,C100158,2024-05-01 00:25:00,app_open,organic,iOS,SC100158-769
E937,C100066,2024-05-01 08:47:00,topup,referral,iOS,SC100066-312
E528,C100039,2024-05-01 09:13:00,pay,referral,iOS,SC100039-176
E529,C100039,2024-05-01 13:14:00,topup,referral,iOS,SC100039-176
E2153,C100148,2024-05-01 16:57:00,signup,paid,Android,SC100148-717
E1311,C100090,2024-05-02 01:50:00,app_open,paid,iOS,SC100090-437
E1404,C100096,2024-05-02 10:03:00,savings_deposit,organic,iOS,SC100096-468
E52,C100003,2024-05-02 10:26:00,pay,organic,Android,SC100003-17
E2022,C100138,2024-05-02 11:14:00,savings_deposit,organic,iOS,SC100138-674
E2266,C100155,2024-05-02 17:52:00,kyc_submit,paid,Android,SC100155-755
E2688,C100186,2024-05-02 18:12:00,savings_deposit,referral,Android,SC100186-896
E591,C100043,2024-05-02 19:54:00,activate,paid,Web,SC100043-197
E2223,C100152,2024-05-02 22:44:00,app_open,paid,Android,SC100152-741
E2920,C100202,2024-05-03 04:13:00,kyc_submit,organic,Android,SC100202-973
E1471,C100101,2024-05-03 06:33:00,kyc_approved,organic,iOS,SC100101-490
E1294,C100089,2024-05-03 12:36:00,signup,organic,Android,SC100089-431
E2154,C100148,2024-05-03 15:46:00,app_open,paid,Android,SC100148-718
E6,C100000,2024-05-03 16:13:00,signup,organic,Android,SC100000-2
E1567,C100108,2024-05-03 17:07:00,kyc_submit,paid,iOS,SC100108-522
E2962,C100205,2024-05-03 18:32:00,app_open,organic,Android,SC100205-987
E914,C100065,2024-05-03 18:43:00,signup,paid,iOS,SC100065-304
E2991,C100207,2024-05-04 03:22:00,app_open,campaign,iOS,SC100207-997
E2969,C100206,2024-05-04 03:51:00,signup,paid,iOS,SC100206-989
E87,C100006,2024-05-04 09:08:00,app_open,paid,iOS,SC100006-29
E2592,C100178,2024-05-04 09:33:00,signup,organic,Android,SC100178-864
E414,C100029,2024-05-04 13:05:00,kyc_approved,organic,Android,SC100029-138
E1118,C100078,2024-05-04 21:46:00,app_open,organic,iOS,SC100078-372
E2427,C100168,2024-05-05 00:37:00,signup,organic,iOS,SC100168-809
E2099,C100144,2024-05-05 02:03:00,app_open,organic,iOS,SC100144-699
E1516,C100104,2024-05-05 10:50:00,app_open,organic,Android,SC100104-505
E859,C100062,2024-05-05 17:14:00,signup,organic,Android,SC100062-286
