customer_id,signup_date,channel,region,age_group,gender,risk_segment,kyc_submit_date,kyc_approved_date,activate_date,card_activate_date
C100041,2024-01-29,organic,Hanoi,35-44,F,low,,,,
C100042,2024-01-29,organic,HCMC,35-44,F,medium,2024-02-02,2024-02-03,2024-02-05,2024-02-10
C100043,2024-01-29,paid,DaNang,25-34,Other,medium,2024-01-29,2024-02-01,2024-02-01,2024-02-02
C100044,2024-01-30,organic,Hanoi,25-34,F,low,2024-02-05,2024-02-09,2024-02-10,2024-02-16
C100045,2024-01-30,paid,CanTho,18-24,M,medium,2024-01-30,2024-02-02,2024-02-04,2024-02-11
C100046,2024-01-30,organic,Hanoi,55+,M,low,2024-02-01,2024-02-02,2024-02-03,
C100047,2024-01-30,paid,Hanoi,18-24,M,low,2024-01-31,2024-02-03,,
C100048,2024-01-30,organic,HCMC,25-34,F,low,2024-01-31,2024-02-04,2024-02-05,
C100049,2024-01-31,referral,HCMC,55+,M,high,2024-02-06,2024-02-07,2024-02-11,2024-02-16
C100050,2024-01-31,campaign,CanTho,25-34,F,high,,,,
C100051,2024-02-01,organic,Hanoi,25-34,M,medium,,,,
C100052,2024-02-01,organic,HCMC,35-44,M,medium,2024-02-06,2024-02-08,2024-02-12,
C100053,2024-02-01,paid,Hanoi,25-34,M,low,2024-02-05,2024-02-09,2024-02-09,2024-02-10
C100054,2024-02-01,paid,DaNang,25-34,M,high,2024-02-03,2024-02-07,2024-02-10,
C100055,2024-02-02,organic,DaNang,35-44,F,medium,,,,
C100056,2024-02-02,paid,DaNang,45-54,F,low,2024-02-08,2024-02-09,2024-02-13,2024-02-15
C100057,2024-02-03,referral,CanTho,35-44,M,low,,,,
C100058,2024-02-03,referral,Hanoi,25-34,Other,medium,2024-02-06,2024-02-09,2024-02-10,
C100059,2024-02-05,organic,Hanoi,35-44,M,low,2024-02-05,2024-02-09,2024-02-09,2024-02-13
C100060,2024-02-05,referral,HCMC,45-54,M,low,2024-02-11,2024-02-12,,
C100061,2024-02-05,paid,Hanoi,25-34,M,low,,,,
C100062,2024-02-05,organic,Hanoi,35-44,M,low,,,,
C100063,2024-02-06,organic,HCMC,25-34,F,high,2024-02-08,2024-02-09,2024-02-12,
C100064,2024-02-06,paid,HCMC,35-44,M,low,2024-02-10,2024-02-12,2024-02-12,
C100065,2024-02-07,paid,Hanoi,18-24,F,medium,,,,
C100066,2024-02-08,referral,HCMC,25-34,M,low,2024-02-09,2024-02-12,2024-02-14,
C100067,2024-02-09,paid,HCMC,25-34,F,low,,,,
C100068,2024-02-09,organic,HCMC,45-54,M,low,2024-02-10,2024-02-12,2024-02-14,2024-02-15
C100069,2024-02-09,organic,DaNang,25-34,F,medium,2024-02-15,2024-02-19,,
C100070,2024-02-10,referral,HCMC,25-34,F,low,2024-02-10,2024-02-12,,
C100071,2024-02-11,paid,HCMC,35-44,F,low,,,,
C100072,2024-02-11,organic,HCMC,18-24,F,medium,2024-02-13,2024-02-17,2024-02-19,
C100073,2024-02-12,campaign,Hanoi,25-34,F,low,,,,
C100074,2024-02-12,organic,HCMC,25-34,F,low,2024-02-14,2024-02-16,2024-02-16,2024-02-17
C100075,2024-02-14,organic,Hanoi,25-34,F,low,2024-02-14,2024-02-15,2024-02-17,2024-02-22
C100076,2024-02-14,paid,Hanoi,35-44,F,low,2024-02-17,2024-02-18,2024-02-22,2024-03-01
C100077,2024-02-14,organic,HCMC,35-44,F,low,2024-02-18,2024-02-22,2024-02-25,
C100078,2024-02-14,organic,HCMC,18-24,F,low,,,,
C100079,2024-02-14,paid,Hanoi,18-24,M,high,,,,
C100080,2024-02-14,referral,HCMC,35-44,Other,low,2024-02-18,2024-02-21,2024-02-22,2024-02-27
C100081,2024-02-15,organic,HCMC,25-34,M,low,2024-02-18,2024-02-19,2024-02-20,2024-02-23
C100082,2024-02-15,organic,HCMC,18-24,F,medium,,,,
C100083,2024-02-15,paid,HCMC,18-24,M,medium,2024-02-21,2024-02-22,2024-02-23,
C100084,2024-02-17,organic,Hanoi,25-34,F,medium,,,,
C100085,2024-02-17,organic,HCMC,45-54,M,low,2024-02-21,2024-02-22,2024-02-26,
C100086,2024-02-17,organic,HCMC,25-34,M,medium,2024-02-17,2024-02-18,2024-02-18,2024-02-26
C100087,2024-02-18,referral,HCMC,55+,F,low,,,,
C100088,2024-02-19,organic,HCMC,18-24,M,low,2024-02-25,2024-02-28,2024-03-01,
C100089,2024-02-19,organic,Hanoi,35-44,F,medium,,,,
C100090,2024-02-19,paid,DaNang,35-44,F,medium,,,,
C100091,2024-02-19,paid,Hanoi,25-34,M,low,2024-02-22,2024-02-26,2024-03-01,2024-03-10
C100092,2024-02-19,organic,HCMC,25-34,F,medium,2024-02-19,2024-02-21,,
C100093,2024-02-20,organic,Hanoi,25-34,M,low,2024-02-26,2024-03-01,2024-03-01,
C100094,2024-02-22,paid,CanTho,25-34,M,high,2024-02-27,2024-03-01,2024-03-03,
C100095,2024-02-22,campaign,HCMC,45-54,M,low,2024-02-25,2024-02-28,2024-03-03,
C100096,2024-02-22,organic,HCMC,25-34,M,medium,2024-02-24,2024-02-27,2024-02-27,
C100097,2024-02-23,paid,HCMC,25-34,M,medium,2024-02-24,2024-02-25,2024-02-26,2024-03-03
C100098,2024-02-25,organic,Hanoi,25-34,M,low,2024-02-26,2024-02-29,2024-03-04,2024-03-05
C100099,2024-02-26,paid,HCMC,55+,F,low,2024-02-28,2024-03-02,2024-03-06,
C100100,2024-02-26,paid,CanTho,25-34,F,medium,,,,
C100101,2024-02-27,organic,HCMC,18-24,M,high,2024-03-02,2024-03-06,,
C100102,2024-02-29,paid,Hanoi,45-54,F,low,2024-03-02,2024-03-05,,
C100103,2024-02-29,paid,HCMC,18-24,M,high,2024-02-29,2024-03-03,,
C100104,2024-03-02,organic,HCMC,45-54,F,low,2024-03-07,2024-03-09,2024-03-09,
C100105,2024-03-02,organic,HCMC,35-44,M,medium,,,,
C100106,2024-03-03,campaign,CanTho,55+,M,high,2024-03-05,2024-03-08,2024-03-11,2024-03-14
C100107,2024-03-03,referral,HCMC,25-34,F,high,2024-03-09,2024-03-10,2024-03-11,
C100108,2024-03-03,paid,HCMC,45-54,M,low,2024-03-09,2024-03-12,,
C100109,2024-03-05,paid,HCMC,18-24,M,high,2024-03-07,2024-03-11,,
C100110,2024-03-06,organic,HCMC,35-44,M,medium,2024-03-11,2024-03-12,,
C100111,2024-03-06,organic,HCMC,25-34,F,medium,2024-03-07,2024-03-10,2024-03-11,
C100112,2024-03-07,referral,HCMC,25-34,M,low,,,,
C100113,2024-03-08,organic,HaiPhong,35-44,F,low,2024-03-08,2024-03-11,2024-03-14,
C100114,2024-03-08,campaign,CanTho,35-44,M,medium,2024-03-08,2024-03-10,,
C100115,2024-03-09,referral,HCMC,25-34,F,medium,2024-03-09,2024-03-11,2024-03-12,
C100116,2024-03-09,paid,DaNang,25-34,F,low,,,,
C100117,2024-03-09,organic,HCMC,35-44,M,low,2024-03-15,2024-03-16,2024-03-16,2024-03-23
C100118,2024-03-10,organic,Hanoi,25-34,M,medium,2024-03-10,2024-03-13,2024-03-17,2024-03-23
C100119,2024-03-10,organic,CanTho,25-34,M,medium,2024-03-10,2024-03-13,2024-03-17,
C100120,2024-03-10,paid,HCMC,25-34,M,low,2024-03-12,2024-03-15,2024-03-19,
C100121,2024-03-10,organic,HCMC,35-44,F,medium,2024-03-16,2024-03-19,2024-03-21,
C100122,2024-03-10,referral,DaNang,18-24,F,medium,,,,
C100123,2024-03-11,organic,Hanoi,25-34,M,medium,2024-03-16,2024-03-19,2024-03-21,2024-03-21
C100124,2024-03-13,referral,HaiPhong,35-44,F,low,,,,
C100125,2024-03-13,referral,HCMC,35-44,F,low,2024-03-17,2024-03-21,2024-03-24,
C100126,2024-03-13,paid,HCMC,25-34,M,low,,,,
C100127,2024-03-14,organic,HCMC,18-24,M,low,2024-03-14,2024-03-16,,
C100128,2024-03-14,organic,HCMC,18-24,M,low,2024-03-20,2024-03-21,2024-03-22,2024-03-26
C100129,2024-03-15,organic,HCMC,25-34,F,low,2024-03-16,2024-03-19,2024-03-22,2024-03-22
C100130,2024-03-15,organic,Hanoi,35-44,M,medium,,,,
C100131,2024-03-15,paid,HCMC,25-34,M,low,2024-03-18,2024-03-22,2024-03-22,2024-03-28
C100132,2024-03-16,paid,Hanoi,45-54,F,low,2024-03-19,2024-03-20,2024-03-23,2024-03-28
C100133,2024-03-16,referral,Hanoi,35-44,F,low,2024-03-20,2024-03-22,2024-03-25,
C100134,2024-03-17,organic,HCMC,25-34,M,low,2024-03-22,2024-03-23,2024-03-24,2024-03-25
C100135,2024-03-17,organic,Hanoi,35-44,M,medium,,,,
C100136,2024-03-18,referral,HaiPhong,25-34,M,medium,,,,
C100137,2024-03-18,campaign,HCMC,45-54,F,medium,,,,
C100138,2024-03-18,organic,Hanoi,25-34,F,medium,2024-03-18,2024-03-19,2024-03-19,2024-03-26
C100139,2024-03-19,referral,HCMC,18-24,M,high,2024-03-20,2024-03-21,,
C100140,2024-03-20,paid,HaiPhong,55+,M,low,2024-03-25,2024-03-27,2024-03-31,
C100141,2024-03-20,organic,CanTho,25-34,M,medium,,,,
C100142,2024-03-20,paid,HaiPhong,45-54,M,low,2024-03-20,2024-03-22,2024-03-25,2024-03-29
C100143,2024-03-20,organic,HCMC,18-24,F,low,2024-03-24,2024-03-27,2024-03-27,2024-04-02
C100144,2024-03-21,organic,HCMC,25-34,F,low,2024-03-23,2024-03-24,2024-03-28,
C100145,2024-03-21,campaign,HCMC,25-34,M,medium,,,,
C100146,2024-03-21,paid,HCMC,45-54,F,low,,,,
C100147,2024-03-22,organic,HaiPhong,18-24,M,low,,,,
C100148,2024-03-22,paid,Hanoi,25-34,M,low,,,,
C100149,2024-03-23,organic,HCMC,35-44,M,medium,2024-03-23,2024-03-27,2024-03-28,
C100150,2024-03-24,referral,HCMC,25-34,F,low,,,,
C100151,2024-03-24,paid,CanTho,25-34,F,low,2024-03-28,2024-03-31,2024-04-04,2024-04-11
C100152,2024-03-25,paid,HCMC,45-54,Other,high,,,,
C100153,2024-03-25,organic,Hanoi,25-34,M,low,2024-03-26,2024-03-30,,
C100154,2024-03-26,organic,Hanoi,35-44,F,low,2024-03-28,2024-03-31,2024-04-01,
C100155,2024-03-26,paid,Hanoi,35-44,F,low,2024-03-30,2024-03-31,2024-04-01,2024-04-08
C100156,2024-03-26,organic,Hanoi,45-54,F,low,2024-03-30,2024-04-02,2024-04-02,2024-04-02
C100157,2024-03-26,referral,Hanoi,25-34,F,low,2024-03-26,2024-03-29,2024-03-29,2024-04-02
C100158,2024-03-26,organic,Hanoi,25-34,F,low,,,,
C100159,2024-03-26,organic,HCMC,25-34,M,low,,,,
C100160,2024-03-27,organic,DaNang,25-34,F,low,2024-03-28,2024-04-01,2024-04-05,2024-04-05
C100161,2024-03-27,paid,HCMC,45-54,M,low,2024-04-02,2024-04-06,2024-04-07,2024-04-07
C100162,2024-03-28,campaign,HCMC,55+,F,high,2024-04-03,2024-04-05,2024-04-07,
C100163,2024-03-28,organic,DaNang,25-34,F,high,2024-03-28,2024-03-29,,
C100164,2024-03-29,referral,CanTho,35-44,F,low,2024-03-30,2024-04-02,2024-04-02,2024-04-03
C100165,2024-03-29,organic,Hanoi,25-34,F,medium,2024-04-01,2024-04-03,,
C100166,2024-03-30,referral,HCMC,35-44,F,low,2024-04-03,2024-04-05,2024-04-07,
C100167,2024-03-31,paid,DaNang,25-34,M,low,2024-04-03,2024-04-07,2024-04-08,2024-04-13
C100168,2024-04-01,organic,HaiPhong,25-34,M,medium,2024-04-04,2024-04-05,,
C100169,2024-04-01,referral,Hanoi,25-34,M,low,2024-04-06,2024-04-08,2024-04-11,2024-04-14
C100170,2024-04-01,referral,HCMC,25-34,F,low,2024-04-03,2024-04-05,,
C100171,2024-04-01,organic,HCMC,18-24,F,low,2024-04-02,2024-04-04,2024-04-05,2024-04-13
C100172,2024-04-02,organic,Hanoi,45-54,F,low,2024-04-03,2024-04-04,,
C100173,2024-04-02,organic,HCMC,25-34,M,medium,2024-04-04,2024-04-07,2024-04-08,2024-04-12
C100174,2024-04-03,paid,HCMC,35-44,F,low,2024-04-06,2024-04-10,,
C100175,2024-04-03,campaign,HaiPhong,25-34,F,high,2024-04-07,2024-04-08,2024-04-10,
C100176,2024-04-04,referral,Hanoi,25-34,M,medium,2024-04-04,2024-04-06,2024-04-08,
C100177,2024-04-05,organic,Hanoi,55+,M,medium,,,,
C100178,2024-04-10,organic,HCMC,45-54,F,high,,,,
C100179,2024-04-10,paid,HCMC,35-44,M,low,2024-04-10,2024-04-12,2024-04-13,2024-04-18
C100180,2024-04-12,paid,HCMC,18-24,F,medium,2024-04-18,2024-04-20,2024-04-21,2024-04-26
C100181,2024-04-12,organic,HCMC,25-34,M,low,2024-04-14,2024-04-15,2024-04-16,2024-04-23
C100182,2024-04-12,paid,Hanoi,35-44,M,low,,,,
C100183,2024-04-13,campaign,DaNang,18-24,M,low,,,,
C100184,2024-04-13,organic,HaiPhong,35-44,F,medium,2024-04-15,2024-04-18,2024-04-21,2024-04-23
C100185,2024-04-14,organic,HaiPhong,45-54,F,medium,,,,
C100186,2024-04-15,referral,HCMC,55+,F,low,2024-04-21,2024-04-23,2024-04-24,
C100187,2024-04-15,organic,HCMC,25-34,M,medium,,,,
C100188,2024-04-16,organic,Hanoi,18-24,M,medium,,,,
C100189,2024-04-16,organic,HCMC,25-34,M,low,,,,
C100190,2024-04-16,referral,CanTho,45-54,M,low,2024-04-16,2024-04-18,2024-04-22,2024-04-27
C100191,2024-04-17,organic,Hanoi,18-24,M,high,,,,
C100192,2024-04-17,organic,HCMC,35-44,Other,low,,,,
C100193,2024-04-17,paid,HCMC,35-44,F,medium,2024-04-21,2024-04-25,2024-04-29,2024-05-08
C100194,2024-04-17,referral,HCMC,25-34,M,low,2024-04-19,2024-04-21,2024-04-21,2024-04-28
C100195,2024-04-21,referral,Hanoi,35-44,F,medium,2024-04-26,2024-04-30,2024-05-01,
C100196,2024-04-22,organic,HCMC,18-24,F,high,2024-04-28,2024-04-30,2024-05-01,
C100197,2024-04-22,campaign,HaiPhong,35-44,M,high,,,,
C100198,2024-04-24,organic,DaNang,25-34,M,low,2024-04-29,2024-04-30,2024-05-02,
C100199,2024-04-26,organic,CanTho,45-54,F,medium,2024-04-26,2024-04-29,,
C100200,2024-04-27,organic,CanTho,25-34,M,medium,2024-05-03,2024-05-05,2024-05-09,
C100201,2024-04-28,paid,Hanoi,25-34,M,low,2024-05-01,2024-05-03,2024-05-05,2024-05-11
C100202,2024-04-29,organic,CanTho,25-34,M,medium,2024-05-01,2024-05-05,2024-05-05,2024-05-12
C100203,2024-04-29,organic,Hanoi,25-34,F,low,2024-05-03,2024-05-07,2024-05-07,2024-05-15
C100204,2024-04-30,campaign,Hanoi,18-24,F,low,2024-05-05,2024-05-06,2024-05-09,2024-05-15
C100205,2024-04-30,organic,HCMC,45-54,M,low,2024-05-05,2024-05-07,2024-05-09,
C100206,2024-05-01,paid,Hanoi,35-44,F,medium,2024-05-02,2024-05-05,2024-05-07,
C100207,2024-05-01,campaign,Hanoi,25-34,M,low,2024-05-05,2024-05-06,,
C100208,2024-05-01,organic,Hanoi,35-44,M,high,2024-05-01,2024-05-04,2024-05-04,
C100209,2024-05-01,organic,CanTho,55+,M,medium,2024-05-03,2024-05-07,2024-05-10,2024-05-19
C100210,2024-05-03,paid,Hanoi,35-44,M,medium,2024-05-09,2024-05-13,2024-05-14,2024-05-19
C100211,2024-05-03,organic,HCMC,25-34,M,high,,,,
C100212,2024-05-04,organic,HCMC,35-44,M,low,2024-05-05,2024-05-06,2024-05-07,
C100213,2024-05-04,paid,CanTho,35-44,F,low,,,,
C100214,2024-05-04,organic,CanTho,35-44,M,low,2024-05-09,2024-05-10,2024-05-12,2024-05-16
C100215,2024-05-04,organic,HCMC,25-34,M,low,,,,
C100216,2024-05-05,organic,HCMC,18-24,F,medium,2024-05-11,2024-05-12,2024-05-13,
C100217,2024-05-06,paid,HCMC,25-34,F,medium,2024-05-11,2024-05-13,2024-05-16,2024-05-21
C100218,2024-05-09,referral,HCMC,25-34,M,medium,2024-05-09,2024-05-12,2024-05-12,2024-05-16
C100219,2024-05-10,paid,CanTho,45-54,F,low,2024-05-13,2024-05-17,2024-05-21,2024-05-25
C100220,2024-05-11,organic,HCMC,18-24,F,low,,,,
C100221,2024-05-11,referral,Hanoi,45-54,M,low,,,,
C100222,2024-05-11,organic,DaNang,18-24,M,high,2024-05-14,2024-05-17,2024-05-18,
C100223,2024-05-12,referral,HCMC,25-34,M,medium,2024-05-12,2024-05-14,2024-05-14,2024-05-18
C100224,2024-05-13,organic,Hanoi,25-34,M,low,,,,
C100225,2024-05-13,campaign,Hanoi,45-54,M,low,,,,
C100226,2024-05-13,referral,HCMC,55+,M,low,,,,
C100227,2024-05-14,paid,HCMC,18-24,M,low,,,,
C100228,2024-05-15,organic,HCMC,25-34,M,medium,2024-05-17,2024-05-21,,
C100229,2024-05-15,paid,HCMC,25-34,F,low,2024-05-18,2024-05-22,2024-05-26,2024-05-28
C100230,2024-05-16,paid,HCMC,25-34,F,medium,2024-05-21,2024-05-25,2024-05-28,2024-05-30
C100231,2024-05-16,paid,HCMC,55+,M,low,2024-05-21,2024-05-23,2024-05-23,
C100232,2024-05-16,paid,HCMC,35-44,M,low,,,,
C100233,2024-05-16,organic,HaiPhong,25-34,F,medium,2024-05-22,2024-05-23,2024-05-27,2024-06-04
C100234,2024-05-17,organic,Hanoi,35-44,M,medium,2024-05-22,2024-05-24,,
C100235,2024-05-17,referral,CanTho,35-44,M,medium,,,,
C100236,2024-05-18,organic,CanTho,45-54,M,low,2024-05-19,2024-05-22,2024-05-26,
C100237,2024-05-19,campaign,HCMC,45-54,M,low,2024-05-20,2024-05-23,2024-05-27,2024-06-01
C100238,2024-05-19,paid,HCMC,25-34,F,low,2024-05-19,2024-05-21,2024-05-23,
C100239,2024-05-22,organic,HaiPhong,35-44,M,low,2024-05-22,2024-05-25,2024-05-28,
C100240,2024-05-23,referral,Hanoi,55+,F,low,2024-05-27,2024-05-30,,
C100241,2024-05-24,organic,Hanoi,25-34,F,low,,,,
C100242,2024-05-24,paid,CanTho,35-44,F,medium,,,,
C100243,2024-05-25,paid,HCMC,25-34,M,high,,,,
C100244,2024-05-25,referral,Hanoi,25-34,M,low,2024-05-27,2024-05-28,2024-05-31,2024-06-03
C100245,2024-05-28,organic,HCMC,25-34,F,medium,2024-06-03,2024-06-04,2024-06-08,
C100246,2024-05-28,referral,HCMC,18-24,M,low,2024-05-30,2024-06-01,2024-06-04,2024-06-07
C100247,2024-05-29,paid,HCMC,25-34,M,medium,2024-05-31,2024-06-02,,
C100248,2024-05-29,organic,HCMC,25-34,Other,medium,,,,
C100249,2024-05-29,organic,HCMC,35-44,F,low,2024-06-04,2024-06-05,2024-06-08,
C100250,2024-05-30,campaign,Hanoi,35-44,M,medium,,,,
C100251,2024-05-30,campaign,Hanoi,35-44,F,high,,,,
C100252,2024-05-30,paid,DaNang,35-44,F,low,2024-06-01,2024-06-04,2024-06-08,
C100253,2024-05-31,organic,HCMC,35-44,M,low,,,,
C100254,2024-06-01,campaign,HCMC,25-34,M,high,2024-06-07,2024-06-09,,
C100255,2024-06-01,organic,Hanoi,35-44,M,low,2024-06-01,2024-06-04,2024-06-06,
C100256,2024-06-02,organic,HCMC,35-44,F,medium,2024-06-02,2024-06-06,2024-06-08,
C100257,2024-06-03,paid,DaNang,45-54,Other,medium,2024-06-06,2024-06-09,2024-06-12,2024-06-18
C100258,2024-06-04,paid,HCMC,25-34,M,medium,2024-06-09,2024-06-13,2024-06-15,
C100259,2024-06-05,organic,HCMC,45-54,F,medium,,,,
C100260,2024-06-05,organic,DaNang,25-34,M,low,2024-06-08,2024-06-09,2024-06-09,
C100261,2024-06-06,organic,HCMC,18-24,M,medium,2024-06-06,2024-06-08,2024-06-09,
C100262,2024-06-06,organic,Hanoi,35-44,M,medium,2024-06-12,2024-06-16,,
C100263,2024-06-07,organic,HCMC,25-34,F,low,2024-06-08,2024-06-10,2024-06-14,
C100264,2024-06-07,organic,HCMC,45-54,M,low,2024-06-08,2024-06-10,2024-06-13,2024-06-17
C100265,2024-06-07,organic,Hanoi,25-34,F,medium,2024-06-13,2024-06-14,2024-06-18,2024-06-23
C100266,2024-06-08,organic,Hanoi,25-34,F,low,2024-06-13,2024-06-17,2024-06-18,
C100267,2024-06-09,organic,HCMC,45-54,F,low,2024-06-09,2024-06-11,2024-06-14,
C100268,2024-06-09,referral,Hanoi,35-44,M,low,2024-06-14,2024-06-17,2024-06-21,
C100269,2024-06-09,organic,Hanoi,18-24,M,high,2024-06-11,2024-06-14,2024-06-14,
C100270,2024-06-10,organic,Hanoi,55+,F,medium,2024-06-12,2024-06-16,2024-06-18,
C100271,2024-06-10,paid,HCMC,25-34,F,low,2024-06-12,2024-06-15,2024-06-18,
C100272,2024-06-10,referral,Hanoi,35-44,F,medium,2024-06-15,2024-06-17,2024-06-17,
C100273,2024-06-11,organic,HaiPhong,55+,M,low,,,,
C100274,2024-06-11,organic,HCMC,45-54,Other,low,2024-06-12,2024-06-15,2024-06-17,2024-06-25
C100275,2024-06-11,paid,Hanoi,25-34,M,low,2024-06-12,2024-06-15,2024-06-18,2024-06-18
C100276,2024-06-12,referral,HCMC,55+,M,medium,,,,
C100277,2024-06-14,referral,Hanoi,35-44,M,low,2024-06-18,2024-06-20,2024-06-21,
C100278,2024-06-14,paid,HCMC,25-34,F,high,2024-06-16,2024-06-19,2024-06-23,2024-07-01
C100279,2024-06-15,paid,Hanoi,55+,F,low,2024-06-18,2024-06-21,2024-06-22,2024-06-26
C100280,2024-06-16,organic,Hanoi,35-44,M,low,2024-06-19,2024-06-22,2024-06-26,2024-06-29
C100281,2024-06-17,organic,CanTho,25-34,F,low,,,,
C100282,2024-06-18,organic,CanTho,25-34,Other,medium,2024-06-21,2024-06-22,,
C100283,2024-06-18,referral,CanTho,25-34,F,high,,,,
C100284,2024-06-18,paid,HaiPhong,35-44,M,low,2024-06-20,2024-06-22,2024-06-22,2024-06-30
C100285,2024-06-20,organic,HCMC,35-44,M,low,,,,
C100286,2024-06-20,organic,DaNang,18-24,M,low,2024-06-24,2024-06-28,2024-06-29,2024-07-03
C100287,2024-06-22,organic,CanTho,25-34,M,medium,2024-06-28,2024-06-30,2024-07-03,2024-07-12
C100288,2024-06-22,referral,HCMC,25-34,M,low,2024-06-27,2024-06-28,2024-06-28,2024-07-04
C100289,2024-06-22,organic,Hanoi,45-54,M,high,,,,
C100290,2024-06-23,organic,Hanoi,25-34,M,medium,2024-06-23,2024-06-27,,
C100291,2024-06-23,organic,HCMC,35-44,F,low,2024-06-24,2024-06-28,2024-06-29,
C100292,2024-06-23,organic,Hanoi,35-44,F,low,2024-06-28,2024-07-01,,
C100293,2024-06-24,paid,Hanoi,35-44,M,medium,2024-06-24,2024-06-28,2024-06-30,2024-07-07
C100294,2024-06-25,paid,Hanoi,25-34,M,high,2024-06-27,2024-06-30,2024-07-01,
C100295,2024-06-25,paid,HCMC,25-34,F,low,2024-06-27,2024-06-28,2024-07-02,
C100296,2024-06-26,campaign,CanTho,18-24,M,low,,,,
C100297,2024-06-27,referral,HCMC,25-34,F,low,2024-07-01,2024-07-02,2024-07-02,2024-07-11
C100298,2024-06-27,organic,DaNang,45-54,M,low,2024-06-27,2024-07-01,2024-07-03,2024-07-03
C100299,2024-06-29,organic,HCMC,25-34,F,low,2024-07-05,2024-07-09,2024-07-12,
C100300,2024-06-29,organic,Hanoi,25-34,M,high,,,,
C100301,2024-06-30,organic,HCMC,25-34,M,low,2024-07-02,2024-07-04,2024-07-06,
C100302,2024-07-01,referral,Hanoi,18-24,F,medium,,,,
C100303,2024-07-01,referral,Hanoi,25-34,M,medium,,,,
