txn_id,customer_id,txn_time,product,amount,fee,merchant_category,card_present,status,region,channel
T552,C100053,2024-02-26 19:52:00,transfer,74.98,0.15,utilities,False,COMPLETED,Hanoi,paid
T356,C100038,2024-02-27 16:49:00,transfer,24.81,0.05,fashion,False,COMPLETED,HCMC,organic
T264,C100032,2024-02-28 20:28:00,transfer,99.7,0.2,groceries,False,COMPLETED,Hanoi,paid
T446,C100044,2024-02-29 17:04:00,savings,83.67,0.0,utilities,False,COMPLETED,Hanoi,organic
T115,C100020,2024-03-02 13:34:00,transfer,74.25,0.15,health,True,COMPLETED,CanTho,paid
T559,C100053,2024-03-02 13:52:00,transfer,30.62,0.06,electronics,False,COMPLETED,Hanoi,paid
T30,C100008,2024-03-04 09:36:00,pay,28.62,0.14,health,True,COMPLETED,Hanoi,organic
T112,C100020,2024-03-04 12:09:00,transfer,28.84,0.06,groceries,True,COMPLETED,CanTho,paid
T167,C100024,2024-03-07 16:41:00,transfer,29.51,0.06,transport,False,COMPLETED,HCMC,organic
T588,C100056,2024-03-07 19:26:00,pay,22.25,0.11,education,False,COMPLETED,DaNang,paid
T116,C100020,2024-03-08 10:28:00,pay,23.06,0.12,electronics,True,COMPLETED,CanTho,paid
T572,C100056,2024-03-08 13:07:00,pay,19.82,0.1,groceries,False,COMPLETED,DaNang,paid
T522,C100049,2024-03-08 17:36:00,transfer,119.78,0.24,utilities,False,COMPLETED,HCMC,referral
T777,C100083,2024-03-10 19:42:00,savings,34.63,0.0,fashion,True,COMPLETED,HCMC,paid
T553,C100053,2024-03-12 19:55:00,transfer,8.71,0.02,entertainment,False,COMPLETED,Hanoi,paid
T391,C100042,2024-03-13 16:37:00,transfer,56.54,0.11,utilities,False,COMPLETED,HCMC,organic
T893,C100094,2024-03-14 13:28:00,pay,16.8,0.08,entertainment,True,COMPLETED,CanTho,paid
T653,C100068,2024-03-14 13:31:00,transfer,28.13,0.06,education,True,COMPLETED,HCMC,organic
T968,C100111,2024-03-14 14:33:00,pay,29.12,0.15,utilities,False,COMPLETED,HCMC,organic
T252,C100032,2024-03-15 15:54:00,topup,16.88,0.02,electronics,False,COMPLETED,Hanoi,paid
T71,C100012,2024-03-17 10:35:00,pay,63.47,0.32,groceries,True,COMPLETED,HCMC,organic
T271,C100033,2024-03-17 10:44:00,transfer,33.1,0.07,groceries,False,COMPLETED,CanTho,paid
T975,C100111,2024-03-17 12:05:00,pay,65.57,0.33,entertainment,False,COMPLETED,HCMC,organic
T454,C100044,2024-03-18 09:51:00,savings,14.49,0.0,other,True,COMPLETED,Hanoi,organic
T350,C100038,2024-03-19 15:10:00,transfer,71.75,0.14,electronics,False,COMPLETED,HCMC,organic
T408,C100042,2024-03-19 15:40:00,pay,23.41,0.12,fashion,True,COMPLETED,HCMC,organic
T403,C100042,2024-03-19 19:27:00,savings,61.64,0.0,electronics,True,COMPLETED,HCMC,organic
T793,C100085,2024-03-19 20:37:00,bill_pay,27.89,0.08,other,True,COMPLETED,HCMC,organic
T127,C100021,2024-03-20 15:20:00,pay,8.85,0.04,transport,True,COMPLETED,Hanoi,campaign
T1172,C100129,2024-03-22 09:41:00,invest,46.13,0.02,other,False,COMPLETED,HCMC,organic
T70,C100012,2024-03-22 09:52:00,topup,66.02,0.07,health,True,COMPLETED,HCMC,organic
T412,C100043,2024-03-23 14:24:00,pay,31.53,0.16,transport,True,COMPLETED,DaNang,paid
T781,C100085,2024-03-23 20:15:00,transfer,25.03,0.05,electronics,False,COMPLETED,HCMC,organic
T12,C100003,2024-03-25 09:13:00,transfer,62.79,0.13,education,False,COMPLETED,Hanoi,organic
T1198,C100132,2024-03-25 09:50:00,bill_pay,45.03,0.14,electronics,True,COMPLETED,Hanoi,paid
T637,C100066,2024-03-25 20:13:00,pay,43.21,0.22,transport,False,COMPLETED,HCMC,referral
T667,C100068,2024-03-25 20:13:00,transfer,56.99,0.11,transport,True,COMPLETED,HCMC,organic
T1205,C100132,2024-03-26 09:54:00,bill_pay,18.61,0.06,utilities,False,COMPLETED,Hanoi,paid
T137,C100022,2024-03-26 13:19:00,transfer,50.15,0.1,utilities,False,COMPLETED,HCMC,organic
T5,C100002,2024-03-27 17:47:00,transfer,15.91,0.03,food_delivery,True,COMPLETED,HCMC,organic
T85,C100013,2024-03-28 20:25:00,pay,59.09,0.3,utilities,True,COMPLETED,CanTho,organic
T471,C100045,2024-03-29 10:16:00,pay,50.13,0.25,other,True,COMPLETED,CanTho,paid
T1224,C100133,2024-03-30 13:37:00,pay,43.31,0.22,electronics,True,COMPLETED,Hanoi,referral
T990,C100115,2024-04-01 17:38:00,bill_pay,22.07,0.07,entertainment,False,COMPLETED,HCMC,referral
T432,C100043,2024-04-01 17:55:00,savings,13.74,0.0,food_delivery,False,COMPLETED,DaNang,paid
T836,C100088,2024-04-01 18:18:00,transfer,9.04,0.02,entertainment,False,COMPLETED,HCMC,organic
T655,C100068,2024-04-02 16:52:00,transfer,36.25,0.07,electronics,False,COMPLETED,HCMC,organic
T35,C100009,2024-04-04 10:16:00,transfer,19.19,0.04,utilities,False,COMPLETED,Hanoi,organic
T235,C100029,2024-04-04 14:17:00,pay,16.42,0.08,utilities,False,COMPLETED,HaiPhong,organic
T1166,C100129,2024-04-04 18:33:00,pay,83.15,0.42,entertainment,True,COMPLETED,HCMC,organic
T237,C100031,2024-04-04 18:39:00,transfer,29.52,0.06,health,True,COMPLETED,HCMC,referral
T630,C100063,2024-04-05 11:04:00,pay,47.64,0.24,groceries,True,FAILED,HCMC,organic
T370,C100039,2024-04-05 13:39:00,transfer,66.13,0.13,health,False,COMPLETED,HCMC,referral
T353,C100038,2024-04-05 18:47:00,pay,14.98,0.07,health,True,COMPLETED,HCMC,organic
T749,C100080,2024-04-05 18:48:00,topup,220.01,0.22,fashion,True,COMPLETED,HCMC,referral
T1285,C100142,2024-04-06 09:20:00,transfer,11.3,0.02,electronics,False,COMPLETED,HaiPhong,paid
T177,C100024,2024-04-07 10:34:00,bill_pay,33.23,0.1,health,False,COMPLETED,HCMC,organic
T1077,C100120,2024-04-07 18:47:00,transfer,71.52,0.14,health,False,COMPLETED,HCMC,paid
T796,C100085,2024-04-08 11:08:00,savings,10.33,0.0,transport,False,FAILED,HCMC,organic
T582,C100056,2024-04-08 13:34:00,transfer,36.01,0.07,transport,True,COMPLETED,DaNang,paid
T1360,C100156,2024-04-09 17:55:00,transfer,9.75,0.02,transport,False,COMPLETED,Hanoi,organic
T1465,C100167,2024-04-09 19:50:00,savings,12.54,0.0,entertainment,False,COMPLETED,DaNang,paid
T635,C100064,2024-04-10 18:49:00,pay,20.61,0.1,health,False,COMPLETED,HCMC,paid
T1402,C100162,2024-04-10 18:49:00,transfer,4.77,0.01,entertainment,False,COMPLETED,HCMC,campaign
T239,C100031,2024-04-10 19:55:00,bill_pay,102.88,0.31,food_delivery,True,COMPLETED,HCMC,referral
T321,C100037,2024-04-10 20:20:00,topup,27.39,0.03,education,False,COMPLETED,DaNang,paid
T617,C100058,2024-04-11 09:34:00,pay,8.43,0.04,fashion,True,COMPLETED,Hanoi,referral
T316,C100036,2024-04-11 09:50:00,transfer,59.26,0.12,groceries,True,COMPLETED,Hanoi,campaign
T542,C100052,2024-04-12 16:45:00,pay,17.42,0.09,health,True,COMPLETED,HCMC,organic
T1212,C100133,2024-04-12 19:38:00,pay,111.27,0.56,utilities,True,COMPLETED,Hanoi,referral
T803,C100085,2024-04-13 10:10:00,pay,33.94,0.17,groceries,True,COMPLETED,HCMC,organic
T731,C100077,2024-04-13 12:33:00,transfer,65.18,0.13,other,False,COMPLETED,HCMC,organic
T1036,C100118,2024-04-13 13:06:00,invest,20.37,0.01,utilities,False,COMPLETED,Hanoi,organic
T703,C100075,2024-04-13 16:37:00,pay,25.68,0.13,food_delivery,False,COMPLETED,Hanoi,organic
T1536,C100173,2024-04-13 16:57:00,pay,28.42,0.14,utilities,False,COMPLETED,HCMC,organic
T1101,C100121,2024-04-13 20:40:00,transfer,27.08,0.05,health,False,COMPLETED,HCMC,organic
T231,C100029,2024-04-15 12:33:00,pay,108.91,0.54,fashion,False,COMPLETED,HaiPhong,organic
T334,C100037,2024-04-15 13:42:00,pay,6.44,0.03,education,False,COMPLETED,DaNang,paid
T359,C100038,2024-04-15 16:04:00,topup,19.71,0.02,utilities,False,COMPLETED,HCMC,organic
T120,C100020,2024-04-15 20:04:00,transfer,14.2,0.03,education,False,COMPLETED,CanTho,paid
T694,C100072,2024-04-16 15:30:00,bill_pay,82.48,0.25,transport,False,COMPLETED,HCMC,organic
T487,C100046,2024-04-16 16:35:00,bill_pay,25.08,0.08,food_delivery,True,COMPLETED,Hanoi,organic
T1062,C100119,2024-04-16 16:47:00,pay,33.02,0.17,other,True,COMPLETED,CanTho,organic
T838,C100088,2024-04-16 20:20:00,bill_pay,30.01,0.09,groceries,False,COMPLETED,HCMC,organic
T1483,C100169,2024-04-17 20:53:00,pay,81.73,0.41,health,False,COMPLETED,Hanoi,referral
T1620,C100181,2024-04-18 12:44:00,transfer,155.15,0.31,health,False,COMPLETED,HCMC,organic
T1603,C100179,2024-04-18 14:58:00,bill_pay,8.76,0.03,electronics,True,COMPLETED,HCMC,paid
T481,C100045,2024-04-18 16:05:00,transfer,35.97,0.07,fashion,False,COMPLETED,CanTho,paid
T363,C100038,2024-04-18 16:34:00,invest,6.21,0.0,transport,False,COMPLETED,HCMC,organic
T697,C100072,2024-04-19 09:58:00,pay,206.43,1.03,health,True,COMPLETED,HCMC,organic
T1330,C100151,2024-04-19 11:49:00,pay,63.22,0.32,fashion,False,COMPLETED,CanTho,paid
T1286,C100142,2024-04-20 10:36:00,bill_pay,11.45,0.03,fashion,False,COMPLETED,HaiPhong,paid
T1552,C100175,2024-04-20 12:20:00,pay,23.41,0.12,electronics,False,COMPLETED,HaiPhong,campaign
T34,C100009,2024-04-20 14:54:00,topup,64.5,0.06,education,False,COMPLETED,Hanoi,organic
T1100,C100121,2024-04-20 17:22:00,pay,30.73,0.15,health,True,COMPLETED,HCMC,organic
T932,C100104,2024-04-20 19:43:00,pay,16.69,0.08,entertainment,True,COMPLETED,HCMC,organic
T561,C100054,2024-04-21 09:04:00,bill_pay,80.66,0.24,food_delivery,True,COMPLETED,DaNang,paid
T698,C100074,2024-04-21 20:36:00,pay,32.35,0.16,utilities,True,COMPLETED,HCMC,organic
T146,C100022,2024-04-22 09:11:00,pay,26.15,0.13,other,True,COMPLETED,HCMC,organic
T609,C100058,2024-04-22 20:32:00,topup,98.67,0.1,utilities,False,COMPLETED,Hanoi,referral
T178,C100024,2024-04-23 12:12:00,pay,29.51,0.15,other,True,COMPLETED,HCMC,organic
T649,C100068,2024-04-24 10:07:00,pay,15.54,0.08,utilities,False,COMPLETED,HCMC,organic
T374,C100039,2024-04-25 09:37:00,transfer,36.84,0.07,education,False,COMPLETED,HCMC,referral
T1518,C100173,2024-04-25 15:37:00,savings,74.11,0.0,groceries,False,COMPLETED,HCMC,organic
T1121,C100123,2024-04-25 17:31:00,savings,22.08,0.0,food_delivery,False,COMPLETED,Hanoi,organic
T590,C100056,2024-04-25 19:37:00,pay,82.92,0.41,electronics,False,COMPLETED,DaNang,paid
T722,C100076,2024-04-26 09:01:00,topup,46.42,0.05,fashion,True,COMPLETED,Hanoi,paid
T1370,C100157,2024-04-27 14:38:00,pay,42.98,0.21,groceries,False,COMPLETED,Hanoi,referral
T444,C100044,2024-04-27 17:07:00,savings,9.95,0.0,other,False,COMPLETED,Hanoi,organic
T644,C100068,2024-04-28 10:29:00,transfer,24.42,0.05,entertainment,False,COMPLETED,HCMC,organic
T1405,C100162,2024-04-28 11:33:00,pay,13.9,0.07,transport,True,COMPLETED,HCMC,campaign
T121,C100021,2024-04-28 18:59:00,pay,38.66,0.19,health,False,COMPLETED,Hanoi,campaign
T1504,C100171,2024-04-28 20:38:00,transfer,19.63,0.04,transport,True,COMPLETED,HCMC,organic
T1413,C100162,2024-04-28 20:41:00,topup,28.86,0.03,groceries,False,COMPLETED,HCMC,campaign
T1381,C100157,2024-04-29 10:49:00,transfer,34.68,0.07,transport,True,COMPLETED,Hanoi,referral
T1443,C100166,2024-04-30 10:18:00,transfer,29.03,0.06,food_delivery,True,COMPLETED,HCMC,referral
T1107,C100123,2024-04-30 11:52:00,bill_pay,13.54,0.04,other,False,COMPLETED,Hanoi,organic
T113,C100020,2024-04-30 13:03:00,savings,18.38,0.0,entertainment,False,COMPLETED,CanTho,paid
T1345,C100154,2024-04-30 16:32:00,pay,74.13,0.37,entertainment,True,COMPLETED,Hanoi,organic
T759,C100081,2024-05-01 12:44:00,savings,7.47,0.0,health,True,COMPLETED,HCMC,organic
T1492,C100171,2024-05-01 14:53:00,transfer,9.05,0.02,groceries,True,COMPLETED,HCMC,organic
T1289,C100142,2024-05-01 16:05:00,pay,25.98,0.13,utilities,True,COMPLETED,HaiPhong,paid
T1494,C100171,2024-05-01 16:28:00,savings,10.72,0.0,health,True,COMPLETED,HCMC,organic
T983,C100115,2024-05-01 16:35:00,pay,21.33,0.11,entertainment,False,COMPLETED,HCMC,referral
T1630,C100184,2024-05-01 20:45:00,bill_pay,16.91,0.05,health,True,COMPLETED,HaiPhong,organic
T921,C100098,2024-05-03 10:48:00,pay,54.77,0.27,health,True,COMPLETED,Hanoi,organic
T277,C100033,2024-05-03 16:25:00,pay,17.66,0.09,utilities,True,COMPLETED,CanTho,paid
T1531,C100173,2024-05-03 20:18:00,transfer,37.5,0.08,entertainment,True,COMPLETED,HCMC,organic
T1262,C100138,2024-05-04 18:27:00,pay,38.08,0.19,health,False,COMPLETED,Hanoi,organic
T501,C100048,2024-05-05 09:55:00,pay,22.59,0.11,education,False,FAILED,HCMC,organic
T891,C100094,2024-05-05 17:20:00,topup,39.34,0.04,fashion,False,COMPLETED,CanTho,paid
T1356,C100156,2024-05-05 18:47:00,transfer,60.34,0.12,other,True,COMPLETED,Hanoi,organic
T190,C100025,2024-05-05 19:17:00,bill_pay,27.32,0.08,electronics,True,COMPLETED,CanTho,paid
T1179,C100131,2024-05-05 20:10:00,transfer,45.57,0.09,entertainment,False,COMPLETED,HCMC,paid
T107,C100020,2024-05-05 20:26:00,bill_pay,29.44,0.09,entertainment,False,COMPLETED,CanTho,paid
T160,C100023,2024-05-06 12:29:00,savings,38.03,0.0,fashion,False,COMPLETED,HCMC,paid
T1609,C100179,2024-05-06 15:01:00,bill_pay,62.22,0.19,transport,True,COMPLETED,HCMC,paid
T1566,C100175,2024-05-06 17:33:00,topup,43.31,0.04,transport,True,COMPLETED,HaiPhong,campaign
T195,C100025,2024-05-06 19:01:00,transfer,50.16,0.1,health,True,COMPLETED,CanTho,paid
T745,C100080,2024-05-06 19:36:00,savings,31.69,0.0,fashion,False,COMPLETED,HCMC,referral
T1427,C100166,2024-05-07 09:14:00,pay,21.95,0.11,other,True,COMPLETED,HCMC,referral
T93,C100017,2024-05-07 10:08:00,transfer,29.17,0.06,other,True,COMPLETED,HCMC,organic
T555,C100053,2024-05-07 13:04:00,savings,7.56,0.0,fashion,False,COMPLETED,Hanoi,paid
T982,C100115,2024-05-07 14:25:00,bill_pay,61.08,0.18,utilities,True,COMPLETED,HCMC,referral
T1754,C100201,2024-05-07 16:15:00,pay,54.01,0.27,transport,False,COMPLETED,Hanoi,paid
T568,C100054,2024-05-07 19:02:00,transfer,11.37,0.02,transport,True,COMPLETED,DaNang,paid
T134,C100022,2024-05-07 20:55:00,pay,37.61,0.19,other,True,COMPLETED,HCMC,organic
T1578,C100176,2024-05-08 09:38:00,pay,13.48,0.07,food_delivery,True,COMPLETED,Hanoi,referral
T1021,C100117,2024-05-08 13:52:00,transfer,6.1,0.01,transport,False,FAILED,HCMC,organic
T594,C100056,2024-05-08 14:25:00,bill_pay,11.66,0.03,health,True,COMPLETED,DaNang,paid
T1777,C100203,2024-05-08 20:06:00,pay,62.85,0.31,electronics,True,COMPLETED,Hanoi,organic
T700,C100074,2024-05-09 15:48:00,savings,85.29,0.0,fashion,True,COMPLETED,HCMC,organic
T1506,C100171,2024-05-09 19:22:00,pay,71.09,0.36,fashion,False,COMPLETED,HCMC,organic
T551,C100053,2024-05-09 20:33:00,bill_pay,19.0,0.06,groceries,True,COMPLETED,Hanoi,paid
T1877,C100209,2024-05-10 09:33:00,transfer,37.25,0.07,entertainment,True,COMPLETED,CanTho,organic
T969,C100111,2024-05-10 10:05:00,transfer,48.12,0.1,entertainment,False,COMPLETED,HCMC,organic
T972,C100111,2024-05-10 11:51:00,pay,28.96,0.14,groceries,True,COMPLETED,HCMC,organic
T1049,C100119,2024-05-10 13:54:00,transfer,27.38,0.05,transport,False,COMPLETED,CanTho,organic
T1508,C100171,2024-05-11 11:25:00,savings,50.97,0.0,utilities,True,COMPLETED,HCMC,organic
T1686,C100190,2024-05-11 12:33:00,pay,168.08,0.84,transport,True,COMPLETED,CanTho,referral
T1752,C100201,2024-05-11 18:46:00,savings,16.4,0.0,electronics,False,COMPLETED,Hanoi,paid
T699,C100074,2024-05-12 09:54:00,pay,13.33,0.07,utilities,True,COMPLETED,HCMC,organic
T188,C100025,2024-05-12 12:35:00,transfer,26.11,0.05,other,False,COMPLETED,CanTho,paid
T1770,C100202,2024-05-12 13:53:00,pay,103.04,0.52,groceries,True,COMPLETED,CanTho,organic
T91,C100013,2024-05-12 14:07:00,transfer,32.64,0.07,groceries,True,COMPLETED,CanTho,organic
T1344,C100154,2024-05-12 14:25:00,pay,49.59,0.25,other,False,COMPLETED,Hanoi,organic
T1147,C100128,2024-05-12 15:11:00,transfer,20.95,0.04,electronics,False,COMPLETED,HCMC,organic
T533,C100052,2024-05-12 19:58:00,savings,15.07,0.0,other,False,COMPLETED,HCMC,organic
T1152,C100129,2024-05-13 11:56:00,transfer,36.9,0.07,health,False,COMPLETED,HCMC,organic
T1138,C100128,2024-05-13 17:08:00,savings,107.36,0.0,education,False,COMPLETED,HCMC,organic
T1641,C100186,2024-05-14 10:26:00,transfer,27.11,0.05,transport,True,COMPLETED,HCMC,referral
T1848,C100206,2024-05-14 11:09:00,transfer,27.93,0.06,groceries,False,COMPLETED,Hanoi,paid
T693,C100072,2024-05-14 16:34:00,topup,31.54,0.03,fashion,False,COMPLETED,HCMC,organic
T1899,C100212,2024-05-14 20:57:00,pay,20.24,0.1,transport,True,COMPLETED,HCMC,organic
T1096,C100121,2024-05-15 15:45:00,pay,72.0,0.36,groceries,True,COMPLETED,HCMC,organic
T440,C100044,2024-05-16 12:26:00,pay,35.79,0.18,entertainment,False,COMPLETED,Hanoi,organic
T1288,C100142,2024-05-16 12:42:00,transfer,63.3,0.13,groceries,False,COMPLETED,HaiPhong,paid
T1490,C100169,2024-05-16 14:50:00,transfer,52.65,0.11,transport,True,COMPLETED,Hanoi,referral
T883,C100094,2024-05-16 16:23:00,savings,23.73,0.0,fashion,False,COMPLETED,CanTho,paid
T573,C100056,2024-05-17 09:57:00,pay,6.38,0.03,education,True,COMPLETED,DaNang,paid
T164,C100024,2024-05-17 13:08:00,transfer,24.53,0.05,other,False,COMPLETED,HCMC,organic
T221,C100029,2024-05-17 17:44:00,pay,33.96,0.17,education,False,COMPLETED,HaiPhong,organic
T6,C100003,2024-05-17 19:00:00,pay,72.18,0.36,utilities,True,COMPLETED,Hanoi,organic
T716,C100076,2024-05-17 19:17:00,pay,11.52,0.06,utilities,False,COMPLETED,Hanoi,paid
T1320,C100144,2024-05-17 20:04:00,transfer,61.06,0.12,health,False,COMPLETED,HCMC,organic
T1306,C100143,2024-05-17 20:47:00,pay,32.49,0.16,food_delivery,False,COMPLETED,HCMC,organic
T1267,C100140,2024-05-18 12:09:00,pay,101.53,0.51,electronics,False,COMPLETED,HaiPhong,paid
T81,C100013,2024-05-18 13:11:00,invest,25.3,0.01,electronics,True,COMPLETED,CanTho,organic
T1393,C100160,2024-05-18 13:30:00,invest,31.88,0.02,transport,False,COMPLETED,DaNang,organic
T1769,C100202,2024-05-19 13:57:00,topup,74.94,0.07,education,False,COMPLETED,CanTho,organic
T1072,C100120,2024-05-19 14:32:00,transfer,23.63,0.05,utilities,False,COMPLETED,HCMC,paid
T1684,C100190,2024-05-19 15:02:00,pay,155.79,0.78,education,True,COMPLETED,CanTho,referral
T1906,C100212,2024-05-20 10:25:00,savings,4.89,0.0,groceries,True,COMPLETED,HCMC,organic
T728,C100077,2024-05-20 13:01:00,savings,47.47,0.0,fashion,True,COMPLETED,HCMC,organic
T80,C100013,2024-05-20 15:06:00,savings,54.53,0.0,transport,False,COMPLETED,CanTho,organic
T1567,C100175,2024-05-20 17:08:00,topup,37.12,0.04,fashion,False,COMPLETED,HaiPhong,campaign
T282,C100034,2024-05-20 18:30:00,pay,44.06,0.22,utilities,True,COMPLETED,CanTho,referral
T1551,C100175,2024-05-21 10:07:00,transfer,16.77,0.03,food_delivery,True,COMPLETED,HaiPhong,campaign
T402,C100042,2024-05-21 12:06:00,transfer,6.78,0.01,other,False,COMPLETED,HCMC,organic
T51,C100009,2024-05-21 15:28:00,bill_pay,8.57,0.03,health,True,COMPLETED,Hanoi,organic
T1372,C100157,2024-05-21 17:21:00,pay,9.72,0.05,fashion,True,COMPLETED,Hanoi,referral
T1041,C100118,2024-05-21 17:25:00,pay,12.2,0.06,entertainment,True,COMPLETED,Hanoi,organic
T1085,C100121,2024-05-21 18:31:00,transfer,37.28,0.07,entertainment,True,COMPLETED,HCMC,organic
T1341,C100154,2024-05-21 19:58:00,pay,19.65,0.1,electronics,True,COMPLETED,Hanoi,organic
T1190,C100132,2024-05-22 13:37:00,savings,2.4,0.0,transport,False,COMPLETED,Hanoi,paid
T1350,C100155,2024-05-22 13:43:00,invest,60.74,0.03,groceries,False,COMPLETED,Hanoi,paid
T557,C100053,2024-05-22 16:05:00,transfer,19.33,0.04,transport,False,COMPLETED,Hanoi,paid
T1498,C100171,2024-05-22 16:38:00,savings,36.67,0.0,fashion,True,COMPLETED,HCMC,organic
T510,C100048,2024-05-22 17:58:00,pay,50.53,0.25,health,False,COMPLETED,HCMC,organic
T1716,C100196,2024-05-23 10:01:00,pay,180.78,0.9,health,False,COMPLETED,HCMC,organic
T1457,C100167,2024-05-23 10:50:00,pay,28.59,0.14,fashion,True,COMPLETED,DaNang,paid
T712,C100076,2024-05-23 12:37:00,pay,27.19,0.14,electronics,False,COMPLETED,Hanoi,paid
T1353,C100156,2024-05-23 13:10:00,transfer,93.9,0.19,education,False,COMPLETED,Hanoi,organic
T868,C100093,2024-05-23 13:19:00,transfer,22.1,0.04,fashion,True,COMPLETED,Hanoi,organic
T726,C100076,2024-05-24 15:29:00,pay,57.14,0.29,groceries,False,COMPLETED,Hanoi,paid
T208,C100028,2024-05-24 16:02:00,savings,6.84,0.0,transport,True,COMPLETED,DaNang,organic
T1385,C100157,2024-05-24 17:05:00,pay,49.74,0.25,other,True,COMPLETED,Hanoi,referral
T401,C100042,2024-05-24 17:15:00,pay,49.39,0.25,groceries,False,COMPLETED,HCMC,organic
T886,C100094,2024-05-24 19:26:00,savings,62.29,0.0,fashion,False,COMPLETED,CanTho,paid
T1930,C100217,2024-05-24 20:41:00,transfer,69.68,0.14,transport,True,COMPLETED,HCMC,paid
T228,C100029,2024-05-25 16:27:00,pay,87.43,0.44,other,True,COMPLETED,HaiPhong,organic
T1070,C100120,2024-05-26 10:06:00,transfer,45.15,0.09,food_delivery,False,COMPLETED,HCMC,paid
T1378,C100157,2024-05-26 11:38:00,transfer,38.76,0.08,entertainment,False,COMPLETED,Hanoi,referral
