order_date,order_id,pickup_district,dropoff_district,distance,parent_service_id,hour,service,pooling_internal,total_pooling,region,label,driver_fee,first_pooling,last_pooling,cod,partner_fee,buoi,weekday_number,demand
7/18/2025,25IJA2WL,Quận Ba Đình,Quận Cầu Giấy,8.58,,14,SAMEDAY,0,0,,,,,,0,31000,afternoon,6,33
7/18/2025,25IN3IDX,Huyện Thanh Trì,Quận Hai Bà Trưng,9.97,,9,SAMEDAY,1,1,,,,0,0,0,25000,morning,6,37
7/18/2025,25GZ6EO5,Quận Hoàng Mai,Quận Cầu Giấy,9.1,,14,SAMEDAY,0,0,,,,,,0,32000,afternoon,6,95
7/18/2025,25UVE9XJ,Quận Hoàng Mai,Quận Hai Bà Trưng,5.97,,9,SAMEDAY,1,1,,,,2,2,250000,25000,morning,6,105
7/18/2025,25P0VSJ8,Quận Nam Từ Liêm,Quận Ba Đình,8.37,,8,SAMEDAY,0,0,,,,,,0,25000,morning,6,64
7/18/2025,25ZXSNSA,Quận Cầu Giấy,Quận Nam Từ Liêm,9.08,,10,SAMEDAY,0,0,,,,,,0,25000,morning,6,50
7/18/2025,25I7ACFZ,Quận Nam Từ Liêm,Quận Đống Đa,8.43,HAN-SAMEDAY-INTERNAL,12,SAMEPRICE,2,2,HAN,INTERNAL,22304.6,53,73,0,26000,morning,6,39
7/18/2025,251N1WZ7,Quận Hai Bà Trưng,Quận Hoàng Mai,7.09,HAN-SAMEDAY-INTERNAL,8,SAMEPRICE,1,1,HAN,INTERNAL,27375,5,5,0,25000,morning,6,28
7/18/2025,25VAVIFO,Quận Hai Bà Trưng,Quận Hà Đông,11.47,HAN-SAMEDAY-INTERNAL,14,SAMEPRICE,2,2,HAN,INTERNAL,28046.83,2,21,560000,26000,afternoon,6,49
7/18/2025,25T6GNWQ,Quận Đống Đa,Quận Hoàn Kiếm,5.1,HAN-POOL,13,SAMEPRICE,1,2,HAN,POOL,29000,87,114,605000,25000,afternoon,6,32
7/18/2025,25G0YTNT,Quận Hà Đông,Quận Đống Đa,10.55,HAN-SAMEDAY-INTERNAL,12,SAMEPRICE,2,2,HAN,INTERNAL,37429.25,5,27,0,26000,morning,6,68
7/18/2025,25GQ3SVF,Quận Nam Từ Liêm,Quận Hoàng Mai,13.2,HAN-SAMEDAY-INTERNAL,11,SAMEPRICE,2,2,HAN,INTERNAL,27509.33,0,17,0,26000,morning,6,83
7/18/2025,25JJ7FUQ,Huyện Thanh Trì,Quận Ba Đình,11.98,HAN-SAMEDAY-INTERNAL,8,SAMEPRICE,1,1,HAN,INTERNAL,27052,12,12,567000,26000,morning,6,30
7/18/2025,25DA6C6Z,Quận Long Biên,Quận Đống Đa,13.28,HAN-SAMEDAY-INTERNAL,9,SAMEPRICE,1,1,HAN,INTERNAL,25344,20,20,0,26000,morning,6,61
7/18/2025,25F304RU,Quận Hà Đông,Quận Ba Đình,14.18,HAN-SAMEDAY-INTERNAL,8,SAMEPRICE,1,1,HAN,INTERNAL,29948.67,63,63,0,26000,morning,6,69
7/18/2025,25VS1XPF,Quận Tây Hồ,Quận Long Biên,12.23,HAN-SAMEDAY-INTERNAL,8,SAMEPRICE,1,1,HAN,INTERNAL,29470.67,101,101,0,25000,morning,6,16
7/18/2025,25D86M5V,Quận Hoàng Mai,Quận Thanh Xuân,10.31,HAN-POOL,9,SAMEPRICE,5,6,HAN,POOL,47000,4,114,0,26000,morning,6,105
7/18/2025,2532R70R,Huyện Thanh Trì,Quận Cầu Giấy,17.09,HAN-SAMEDAY-INTERNAL,8,SAMEPRICE,4,4,HAN,INTERNAL,36871.8,46,106,0,26000,morning,6,30
7/18/2025,25WSBMP9,Quận Bắc Từ Liêm,Quận Hai Bà Trưng,14.41,HAN-SAMEDAY-INTERNAL,7,SAMEPRICE,1,1,HAN,INTERNAL,30940,93,93,0,25000,morning,6,15
7/18/2025,25BSOH7R,Quận Nam Từ Liêm,Quận Hoàng Mai,10.18,HAN-SAMEDAY-INTERNAL,11,SAMEPRICE,1,1,HAN,INTERNAL,31738.5,103,103,0,26000,morning,6,83
7/18/2025,2522SEX2,Quận Cầu Giấy,Quận Thanh Xuân,5.72,HAN-SAMEDAY-INTERNAL,9,SAMEPRICE,2,2,HAN,INTERNAL,25698.4,14,36,0,26000,morning,6,60
7/18/2025,250K2RZC,Quận Hoàng Mai,Quận Thanh Xuân,6.43,HAN-POOL,14,SAMEPRICE,4,5,HAN,POOL,36000,44,113,195000,26000,afternoon,6,95
7/18/2025,25IQGA9U,Quận Hoàng Mai,Huyện Thanh Trì,5.51,HAN-SAMEDAY-INTERNAL,11,SAMEPRICE,1,1,HAN,INTERNAL,27079.5,6,6,0,26000,morning,6,83
7/18/2025,25Q3B0OX,Quận Hai Bà Trưng,Quận Bắc Từ Liêm,12.87,HAN-SAMEDAY-INTERNAL,11,SAMEPRICE,1,1,HAN,INTERNAL,28752.4,7,7,0,26000,morning,6,39
7/18/2025,25VHMN3I,Quận Hà Đông,Quận Bắc Từ Liêm,16.26,HAN-POOL,13,SAMEPRICE,1,3,HAN,POOL,84000,103,160,0,26000,afternoon,6,65
7/18/2025,25RRV26T,Quận Bắc Từ Liêm,Quận Hà Đông,16.18,HAN-SAMEDAY-INTERNAL,13,SAMEPRICE,1,1,HAN,INTERNAL,25413.33,39,39,0,26000,afternoon,6,59
7/18/2025,25XKRH5X,Quận Đống Đa,Quận Thanh Xuân,5.51,,8,SAMEPRICE,1,1,,,,29,29,185000,25000,morning,6,36
7/18/2025,25T9ZNGH,Quận Long Biên,Quận Hoàng Mai,12.44,,11,SAMEPRICE,1,1,,,,21,21,130000,26000,morning,6,56
7/18/2025,25KQZMFZ,Quận Hoàn Kiếm,Quận Long Biên,4.83,,11,SAMEPRICE,0,0,,,,,,0,26000,morning,6,16
7/18/2025,25BTS6R5,Quận Thanh Xuân,Quận Cầu Giấy,6.1,,17,SAMEPRICE,2,2,,,,0,0,0,26000,afternoon,6,3
7/18/2025,252LWKIK,Quận Hoàng Mai,Quận Bắc Từ Liêm,14.46,,16,SAMEPRICE,2,3,,,,0,0,0,25000,afternoon,6,36
7/18/2025,255EOENG,Quận Nam Từ Liêm,Quận Bắc Từ Liêm,9.62,,14,SAMEPRICE,0,0,,,,,,0,25000,afternoon,6,58
7/18/2025,25R6V9NS,Quận Bắc Từ Liêm,Quận Cầu Giấy,7.39,,11,SAMEPRICE,0,0,,,,,,0,26000,morning,6,66
7/18/2025,25LI5SH7,Quận Hai Bà Trưng,Quận Thanh Xuân,8.67,,11,SAMEPRICE,0,0,,,,,,0,26000,morning,6,39
7/18/2025,25DLDXHD,Quận Đống Đa,Quận Long Biên,8.37,,13,SAMEPRICE,0,0,,,,,,0,26000,afternoon,6,32
7/18/2025,25X15AGF,Quận Hoàng Mai,Quận Thanh Xuân,7.79,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,1,1,HAN,INTERNAL,35871.8,3,3,0,25000,morning,6,105
7/18/2025,25HRSDXS,Quận Long Biên,Quận Đống Đa,13.14,HAN-SAMEDAY-INTERNAL,14,SAMEDAY,1,1,HAN,INTERNAL,43767.2,59,59,0,41000,afternoon,6,50
7/18/2025,2528AY8A,Quận Nam Từ Liêm,Quận Nam Từ Liêm,8.26,HAN-SAMEDAY-INTERNAL,11,SAMEDAY,1,1,HAN,INTERNAL,30756,52,52,0,25000,morning,6,83
7/18/2025,25FUWKV0,Quận Ba Đình,Huyện Thanh Trì,11.72,HAN-SAMEDAY-INTERNAL,13,SAMEDAY,1,1,HAN,INTERNAL,37763,3,3,370000,41000,afternoon,6,31
7/18/2025,25DZYXYS,Quận Hai Bà Trưng,Quận Hà Đông,10.91,HAN-SAMEDAY-INTERNAL,14,SAMEDAY,3,3,HAN,INTERNAL,39326.4,10,64,0,42000,afternoon,6,49
7/18/2025,25YVCL83,Quận Hà Đông,Quận Nam Từ Liêm,7.18,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,1,1,HAN,INTERNAL,26739.33,20,20,607000,25000,morning,6,89
7/18/2025,25VRXWJC,Quận Nam Từ Liêm,Quận Hà Đông,6.92,HAN-SAMEDAY-INTERNAL,10,SAMEDAY,1,1,HAN,INTERNAL,23561,69,69,99000,25000,morning,6,79
7/18/2025,254RGAQ0,Quận Hoàng Mai,Quận Hà Đông,17.7,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,1,1,HAN,INTERNAL,35669.33,8,8,0,39000,morning,6,105
7/18/2025,25GYEZIM,Quận Nam Từ Liêm,Quận Ba Đình,10.52,HAN-SAMEDAY-INTERNAL,13,SAMEDAY,1,1,HAN,INTERNAL,38761.83,22,22,0,42000,afternoon,6,69
7/18/2025,255X6U9F,Quận Hoàng Mai,Quận Nam Từ Liêm,11.89,HAN-SAMEDAY-INTERNAL,11,SAMEDAY,2,2,HAN,INTERNAL,39428.8,10,30,0,33000,morning,6,83
7/18/2025,252OIVVL,Quận Hà Đông,Quận Bắc Từ Liêm,9.58,,14,SAMEDAY,5,5,,,,40,118,0,32000,afternoon,6,78
7/18/2025,25FFI8LY,Quận Nam Từ Liêm,Quận Long Biên,19.04,,13,SAMEDAY,0,0,,,,,,180000,49000,afternoon,6,69
7/18/2025,25WQ80F6,Quận Thanh Xuân,Quận Tây Hồ,11.51,,16,SAMEDAY,1,1,,,,3,3,0,42000,afternoon,6,16
7/18/2025,25EBBJU7,Quận Hoàng Mai,Quận Nam Từ Liêm,14.97,,8,SAMEDAY,1,1,,,,26,26,0,32000,morning,6,72
7/18/2025,2534JF2U,Quận Hoàn Kiếm,Quận Cầu Giấy,9.05,,10,SAMEDAY,0,0,,,,,,395000,25000,morning,6,28
7/18/2025,25HBL8UK,Quận Hai Bà Trưng,Quận Nam Từ Liêm,8.66,HAN-SAMEDAY-INTERNAL,13,SAMEPRICE,2,2,HAN,INTERNAL,28387.6,3,37,850000,26000,afternoon,6,41
7/18/2025,25DRY6PF,Quận Đống Đa,Quận Hoàng Mai,8.14,HAN-SAMEDAY-INTERNAL,9,SAMEPRICE,4,4,HAN,INTERNAL,22647.33,9,69,0,26000,morning,6,62
7/18/2025,25IHEPTU,Quận Hà Đông,Quận Đống Đa,9.08,HAN-SAMEDAY-INTERNAL,12,SAMEPRICE,2,2,HAN,INTERNAL,26993.67,0,46,0,26000,morning,6,68
7/18/2025,25C43DZ7,Quận Ba Đình,Quận Nam Từ Liêm,12.54,HAN-SAMEDAY-INTERNAL,9,SAMEPRICE,3,3,HAN,INTERNAL,23110,13,41,0,26000,morning,6,36
7/18/2025,251IJHGD,Quận Đống Đa,Quận Tây Hồ,9.17,HAN-SAMEDAY-INTERNAL,8,SAMEPRICE,1,1,HAN,INTERNAL,39170,5,5,115000,26000,morning,6,36
7/18/2025,25G6OH6N,Quận Hoàng Mai,Quận Nam Từ Liêm,10.9,HAN-SAMEDAY-INTERNAL,10,SAMEPRICE,2,2,HAN,INTERNAL,35340,1,6,0,26000,morning,6,84
7/18/2025,257CHJKR,Quận Hoàng Mai,Quận Cầu Giấy,8.41,HAN-SAMEDAY-INTERNAL,12,SAMEPRICE,3,3,HAN,INTERNAL,26725.33,0,68,0,26000,morning,6,54
7/18/2025,25SY46II,Huyện Thanh Trì,Quận Long Biên,15.18,HAN-POOL,13,SAMEPRICE,1,2,HAN,POOL,75000,12,111,0,25000,afternoon,6,44
7/18/2025,25R4GA8J,Quận Thanh Xuân,Quận Tây Hồ,11.24,HAN-SAMEDAY-INTERNAL,8,SAMEPRICE,1,1,HAN,INTERNAL,28720,24,24,410000,26000,morning,6,46
7/18/2025,25NI9UKH,Quận Hoàng Mai,Quận Cầu Giấy,11.92,HAN-SAMEDAY-INTERNAL,15,SAMEPRICE,1,1,HAN,INTERNAL,29983.6,65,65,0,25000,afternoon,6,88
7/18/2025,255G20G3,Quận Hà Đông,Quận Nam Từ Liêm,10.48,HAN-POOL,10,SAMEPRICE,4,5,HAN,POOL,56000,11,110,0,25000,morning,6,99
7/18/2025,25RWDVAR,Quận Hoàng Mai,Quận Bắc Từ Liêm,12.26,HAN-SAMEDAY-INTERNAL,14,SAMEPRICE,1,1,HAN,INTERNAL,28387.6,10,10,0,26000,afternoon,6,95
7/18/2025,25L29G9P,Quận Hai Bà Trưng,Quận Nam Từ Liêm,8.98,HAN-SAMEDAY-INTERNAL,11,SAMEPRICE,1,1,HAN,INTERNAL,29284,1,1,0,26000,morning,6,39
7/18/2025,254HIBAN,Quận Cầu Giấy,Quận Long Biên,10.76,,14,SAMEPRICE,2,2,,,,15,69,435000,26000,afternoon,6,47
7/18/2025,25PSHZ6C,Quận Hoàng Mai,Quận Hoàng Mai,4.95,,14,SAMEPRICE,2,2,,,,6,40,380000,26000,afternoon,6,95
7/18/2025,25YFCOD6,Quận Thanh Xuân,Quận Hai Bà Trưng,6,,14,SAMEPRICE,1,1,,,,26,26,381000,26000,afternoon,6,61
7/18/2025,25M8IAS4,Quận Hà Đông,Quận Hoàng Mai,12.16,,13,SAMEPRICE,1,1,,,,6,6,0,26000,afternoon,6,65
7/18/2025,256XIP2V,Quận Cầu Giấy,Quận Long Biên,16.49,,14,SAMEPRICE,0,0,,,,,,0,25000,afternoon,6,47
7/18/2025,25RKZ9NM,Quận Hoàn Kiếm,Huyện Thanh Trì,10.73,,12,SAMEPRICE,0,0,,,,,,50000,26000,morning,6,10
7/18/2025,25N89BE2,Quận Hà Đông,Quận Nam Từ Liêm,5.95,,12,SAMEPRICE,1,1,,,,0,0,0,26000,morning,6,68
7/18/2025,25G6GB2M,Quận Ba Đình,Quận Long Biên,8.03,,9,SAMEPRICE,0,0,,,,,,0,25000,morning,6,36
7/18/2025,25OASZ8R,Quận Thanh Xuân,Quận Hoàng Mai,9.3,,8,SAMEPRICE,0,0,,,,,,0,26000,morning,6,46
7/18/2025,25EYOSY1,Quận Ba Đình,Quận Long Biên,11.11,,15,SAMEPRICE,1,1,,,,13,13,0,26000,afternoon,6,38
7/18/2025,251IYP70,Quận Hai Bà Trưng,Quận Nam Từ Liêm,13.21,,12,SAMEPRICE,0,0,,,,,,0,26000,morning,6,38
7/18/2025,25KKTU56,Quận Nam Từ Liêm,Huyện Thanh Trì,9.81,,9,SAMEPRICE,0,0,,,,,,0,26000,morning,6,81
7/18/2025,257E6EPV,Quận Nam Từ Liêm,Quận Hai Bà Trưng,16.38,HAN-SAMEDAY-INTERNAL,11,SAMEDAY,2,2,HAN,INTERNAL,39958,2,22,0,39000,morning,6,83
7/18/2025,2512ABLX,Quận Hoàng Mai,Quận Thanh Xuân,9.75,HAN-SAMEDAY-INTERNAL,7,SAMEDAY,2,2,HAN,INTERNAL,44312,78,97,0,25000,morning,6,18
7/18/2025,25XLEQVY,Quận Bắc Từ Liêm,Quận Cầu Giấy,6.69,HAN-POOL,13,SAMEDAY,0,1,HAN,POOL,36000,98,98,668000,31000,afternoon,6,59
7/18/2025,25TTGPER,Quận Thanh Xuân,Quận Hà Đông,11.56,HAN-SAMEDAY-INTERNAL,8,SAMEDAY,1,1,HAN,INTERNAL,34964.67,21,21,0,32000,morning,6,46
7/18/2025,25K650FH,Quận Tây Hồ,Quận Hà Đông,13.45,HAN-SAMEDAY-INTERNAL,8,SAMEDAY,1,1,HAN,INTERNAL,37697.6,40,40,0,33000,morning,6,16
7/18/2025,258629MV,Quận Hà Đông,Quận Long Biên,17.93,HAN-SAMEDAY-INTERNAL,11,SAMEDAY,2,2,HAN,INTERNAL,57946,10,91,0,39000,morning,6,62
7/18/2025,254IT4H3,Quận Thanh Xuân,Quận Long Biên,13.36,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,1,1,HAN,INTERNAL,36350,1,1,0,33000,morning,6,52
7/18/2025,25I3HA5H,Quận Hoàng Mai,Quận Nam Từ Liêm,14.97,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,2,2,HAN,INTERNAL,35137.33,11,28,0,32000,morning,6,105
7/18/2025,2583QESS,Quận Bắc Từ Liêm,Quận Đống Đa,8.9,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,1,1,HAN,INTERNAL,26947.2,13,13,0,24000,morning,6,79
7/18/2025,25FNVOYY,Quận Hà Đông,Huyện Thanh Trì,7.57,HAN-SAMEDAY-INTERNAL,15,SAMEDAY,1,1,HAN,INTERNAL,35757.33,54,54,600000,33000,afternoon,6,63
7/18/2025,254TDSYG,Quận Đống Đa,Quận Long Biên,13.71,HAN-POOL,12,SAMEDAY,1,2,HAN,POOL,72000,83,101,0,42000,morning,6,34
7/18/2025,2596DS63,Quận Đống Đa,Quận Hà Đông,12.99,HAN-POOL,16,SAMEDAY,1,2,HAN,POOL,68000,36,66,0,41000,afternoon,6,24
7/18/2025,25LSIRE7,Quận Cầu Giấy,Quận Nam Từ Liêm,6.74,HAN-SAMEDAY-INTERNAL,12,SAMEDAY,2,2,HAN,INTERNAL,25738.4,5,40,0,30000,morning,6,37
7/18/2025,25IISE0X,Quận Đống Đa,Quận Tây Hồ,8.19,,9,SAMEDAY,6,6,,,,8,117,390000,25000,morning,6,62
7/18/2025,256TYX9D,Quận Hà Đông,Quận Nam Từ Liêm,8.71,,16,SAMEDAY,1,2,,,,46,75,390000,32000,afternoon,6,20
7/18/2025,254UBH98,Quận Long Biên,Quận Hoàng Mai,10.92,,14,SAMEDAY,0,0,,,,,,0,41000,afternoon,6,50
7/18/2025,25H7E03U,Quận Cầu Giấy,Quận Hoàng Mai,9.9,,15,SAMEDAY,0,0,,,,,,0,32000,afternoon,6,41
7/18/2025,25VWM8UY,Huyện Thanh Trì,Quận Long Biên,15.63,,13,SAMEDAY,0,0,,,,,,0,47000,afternoon,6,44
7/18/2025,25G1QGIR,Quận Hoàng Mai,Quận Tây Hồ,11.75,,11,SAMEDAY,5,5,,,,2,84,0,33000,morning,6,83
7/18/2025,252HKMA4,Quận Nam Từ Liêm,Quận Ba Đình,6.53,,8,SAMEDAY,0,0,,,,,,0,25000,morning,6,64
7/18/2025,25RN3M19,Quận Thanh Xuân,Quận Nam Từ Liêm,12.77,,14,SAMEDAY,0,0,,,,,,500000,42000,afternoon,6,61
7/18/2025,2581D5JM,Quận Nam Từ Liêm,Quận Hoàn Kiếm,8.12,,16,SAMEDAY,0,0,,,,,,877000,32000,afternoon,6,20
7/18/2025,25B5N1BT,Quận Long Biên,Quận Hà Đông,19.77,HAN-SAMEDAY-INTERNAL,7,SAMEPRICE,1,1,HAN,INTERNAL,32608.67,103,103,0,26000,morning,6,20
7/18/2025,25BVOXQZ,Quận Đống Đa,Quận Thanh Xuân,4.19,HAN-SAMEDAY-INTERNAL,11,SAMEPRICE,4,4,HAN,INTERNAL,27388.33,0,98,0,26000,morning,6,38
7/18/2025,25AF8TD8,Quận Hoàng Mai,Quận Ba Đình,7.18,HAN-SAMEDAY-INTERNAL,10,SAMEPRICE,2,2,HAN,INTERNAL,28053.33,0,5,220000,26000,morning,6,84
7/18/2025,25FAHQ1C,Quận Bắc Từ Liêm,Quận Hai Bà Trưng,13.41,HAN-SAMEDAY-INTERNAL,13,SAMEPRICE,1,1,HAN,INTERNAL,24653.33,10,10,0,26000,afternoon,6,59
7/18/2025,25QAZD5D,Quận Hoàng Mai,Huyện Thanh Trì,11.23,HAN-SAMEDAY-INTERNAL,14,SAMEPRICE,3,3,HAN,INTERNAL,21491,35,65,0,26000,afternoon,6,95
7/18/2025,25VMX15I,Quận Nam Từ Liêm,Quận Long Biên,17.45,HAN-SAMEDAY-INTERNAL,13,SAMEPRICE,1,1,HAN,INTERNAL,25748.4,107,107,0,26000,afternoon,6,69
7/18/2025,254W9028,Quận Ba Đình,Quận Hoàng Mai,10.24,HAN-SAMEDAY-INTERNAL,9,SAMEPRICE,1,1,HAN,INTERNAL,25319.2,10,10,0,26000,morning,6,36
7/18/2025,256F4UEU,Quận Nam Từ Liêm,Quận Đống Đa,4.12,HAN-SAMEDAY-INTERNAL,13,SAMEPRICE,2,2,HAN,INTERNAL,29370.33,0,36,0,26000,afternoon,6,69
7/18/2025,25TUIHMD,Quận Ba Đình,Quận Cầu Giấy,6.94,HAN-SAMEDAY-INTERNAL,15,SAMEPRICE,2,2,HAN,INTERNAL,30595.6,19,53,0,26000,afternoon,6,38
7/18/2025,25E8J525,Quận Ba Đình,Quận Hoàng Mai,8.9,HAN-SAMEDAY-INTERNAL,14,SAMEPRICE,3,3,HAN,INTERNAL,23109,4,58,0,26000,afternoon,6,33
7/18/2025,25ZMH18Q,Quận Ba Đình,Quận Bắc Từ Liêm,8.19,HAN-SAMEDAY-INTERNAL,15,SAMEPRICE,2,2,HAN,INTERNAL,30595.6,31,64,610000,26000,afternoon,6,38
7/18/2025,25F0FX9U,Quận Nam Từ Liêm,Quận Đống Đa,5.78,HAN-SAMEDAY-INTERNAL,9,SAMEPRICE,7,7,HAN,INTERNAL,31909.8,0,109,683000,26000,morning,6,81
7/18/2025,253M0QOA,Quận Hai Bà Trưng,Quận Hoàng Mai,6.24,HAN-SAMEDAY-INTERNAL,9,SAMEPRICE,2,2,HAN,INTERNAL,26426,16,36,0,26000,morning,6,50
7/18/2025,25XPYKIS,Quận Bắc Từ Liêm,Quận Hai Bà Trưng,12.18,HAN-POOL,14,SAMEPRICE,0,1,HAN,POOL,61000,110,110,0,26000,afternoon,6,75
7/18/2025,25KCZ4CM,Quận Hoàng Mai,Quận Thanh Xuân,9.7,HAN-SAMEDAY-INTERNAL,11,SAMEPRICE,2,2,HAN,INTERNAL,28347,0,23,0,26000,morning,6,83
7/18/2025,251THDC5,Quận Nam Từ Liêm,Quận Hà Đông,8.1,HAN-SAMEDAY-INTERNAL,14,SAMEPRICE,1,1,HAN,INTERNAL,29097.33,12,12,0,26000,afternoon,6,58
7/18/2025,254H3PH5,Quận Cầu Giấy,Quận Hoàn Kiếm,7.68,HAN-SAMEDAY-INTERNAL,10,SAMEPRICE,2,2,HAN,INTERNAL,29398.4,8,13,0,26000,morning,6,50
7/18/2025,25U2L729,Quận Ba Đình,Quận Long Biên,12.94,HAN-SAMEDAY-INTERNAL,14,SAMEPRICE,1,1,HAN,INTERNAL,27670.6,86,86,0,26000,afternoon,6,33
7/18/2025,2511M2SE,Quận Bắc Từ Liêm,Quận Nam Từ Liêm,10.67,HAN-SAMEDAY-INTERNAL,10,SAMEPRICE,1,1,HAN,INTERNAL,41257.75,11,11,0,26000,morning,6,56
7/18/2025,253XABF4,Quận Tây Hồ,Quận Cầu Giấy,8.36,HAN-SAMEDAY-INTERNAL,11,SAMEPRICE,1,1,HAN,INTERNAL,30478.2,11,11,0,25000,morning,6,21
7/18/2025,2598KLLM,Quận Hà Đông,Quận Hai Bà Trưng,11.94,HAN-SAMEDAY-INTERNAL,13,SAMEPRICE,1,1,HAN,INTERNAL,34693.5,9,9,0,26000,afternoon,6,65
7/18/2025,25D5QIEX,Quận Hoàn Kiếm,Quận Bắc Từ Liêm,12.64,HAN-POOL,9,SAMEPRICE,4,5,HAN,POOL,57000,13,117,0,26000,morning,6,31
7/18/2025,25SJAAKR,Quận Tây Hồ,Quận Đống Đa,10.68,HAN-SAMEDAY-INTERNAL,8,SAMEPRICE,3,3,HAN,INTERNAL,28123.33,9,64,0,26000,morning,6,16
7/18/2025,25LR99NG,Quận Hoàng Mai,Quận Long Biên,10.47,,16,SAMEPRICE,3,3,,,,0,13,0,25000,afternoon,6,36
7/18/2025,25XPGASH,Quận Thanh Xuân,Quận Hai Bà Trưng,7.37,,17,SAMEPRICE,3,3,,,,0,0,0,26000,afternoon,6,3
7/18/2025,25G9B0C6,Quận Đống Đa,Quận Hoàng Mai,5.3,,14,SAMEPRICE,2,2,,,,21,36,0,26000,afternoon,6,50
7/18/2025,25ATATFD,Quận Hai Bà Trưng,Quận Hà Đông,10.51,,11,SAMEPRICE,1,1,,,,2,2,0,26000,morning,6,39
7/18/2025,25XRJFOW,Quận Hà Đông,Quận Ba Đình,10.14,,14,SAMEPRICE,1,1,,,,28,28,0,25000,afternoon,6,78
7/18/2025,25W3AYHG,Quận Nam Từ Liêm,Quận Long Biên,19.94,,13,SAMEPRICE,0,0,,,,,,0,26000,afternoon,6,69
7/18/2025,25ZGMAFE,Quận Hoàng Mai,Quận Đống Đa,6.4,,8,SAMEPRICE,0,0,,,,,,0,26000,morning,6,72
7/18/2025,25SC5UIO,Quận Đống Đa,Quận Cầu Giấy,8.49,,14,SAMEPRICE,2,2,,,,12,30,0,25000,afternoon,6,50
7/18/2025,25L6FBDL,Quận Hà Đông,Quận Cầu Giấy,7.37,,16,SAMEPRICE,2,2,,,,0,0,0,26000,afternoon,6,20
7/18/2025,25SLJ7EV,Quận Tây Hồ,Quận Đống Đa,8.63,,13,SAMEPRICE,2,2,,,,27,54,0,25000,afternoon,6,22
7/18/2025,25G7VUZY,Quận Thanh Xuân,Quận Hoàng Mai,9.3,,8,SAMEPRICE,1,1,,,,1,1,800000,26000,morning,6,46
7/18/2025,2529ZAEJ,Quận Hà Đông,Quận Cầu Giấy,12.79,,14,SAMEPRICE,0,0,,,,,,0,26000,afternoon,6,78
7/18/2025,255DMWJF,Quận Long Biên,Quận Hai Bà Trưng,10.02,,15,SAMEPRICE,0,0,,,,,,0,25000,afternoon,6,66
